source,container_size,virtual_carrier,rank,public_carrier_code,snapshot_count,anchor_share
PNC,20FT,CARRIER_A,1,MAE,594.0,0.236371
PNC,20FT,CARRIER_B,2,HLC,613.0,0.243932
PNC,20FT,CARRIER_C,3,MSC,72.0,0.028651
PNC,20FT,CARRIER_D,4,ESL,958.0,0.381218
PNC,20FT,CARRIER_E,5,ONE,161.0,0.064067
PNC,20FT,CARRIER_F,OTHERS,OTHERS(pooled),115.0,0.045762
PNC,40FT,CARRIER_A,1,MAE,1294.0,0.316072
PNC,40FT,CARRIER_B,2,HLC,901.0,0.220078
PNC,40FT,CARRIER_C,3,MSC,1148.0,0.28041
PNC,40FT,CARRIER_D,4,ESL,665.0,0.162433
PNC,40FT,CARRIER_E,5,ONE,31.0,0.007572
PNC,40FT,CARRIER_F,OTHERS,OTHERS(pooled),55.0,0.013434
KITL,20FT,CARRIER_A,1,KMD,607.0,0.172738
KITL,20FT,CARRIER_B,2,HMM,340.0,0.096756
KITL,20FT,CARRIER_C,3,EAS,586.0,0.166762
KITL,20FT,CARRIER_D,4,OOL,0.0,0.0
KITL,20FT,CARRIER_E,5,CMA,453.0,0.128913
KITL,20FT,CARRIER_F,OTHERS,OTHERS(pooled),1528.0,0.434832
KITL,40FT,CARRIER_A,1,KMD,265.0,0.087028
KITL,40FT,CARRIER_B,2,HMM,396.0,0.130049
KITL,40FT,CARRIER_C,3,EAS,240.0,0.078818
KITL,40FT,CARRIER_D,4,OOL,429.0,0.140887
KITL,40FT,CARRIER_E,5,CMA,198.0,0.065025
KITL,40FT,CARRIER_F,OTHERS,OTHERS(pooled),1517.0,0.498194
