carrier_id,hub_code,hub_name,container_size,initial_inventory
CARRIER_A,UIWANG,의왕ICD(오봉역),20FT,14
CARRIER_B,UIWANG,의왕ICD(오봉역),20FT,35
CARRIER_C,UIWANG,의왕ICD(오봉역),20FT,8
CARRIER_D,UIWANG,의왕ICD(오봉역),20FT,12
CARRIER_E,UIWANG,의왕ICD(오봉역),20FT,22
CARRIER_F,UIWANG,의왕ICD(오봉역),20FT,19
CARRIER_A,UIWANG,의왕ICD(오봉역),40FT,4
CARRIER_B,UIWANG,의왕ICD(오봉역),40FT,11
CARRIER_C,UIWANG,의왕ICD(오봉역),40FT,3
CARRIER_D,UIWANG,의왕ICD(오봉역),40FT,3
CARRIER_E,UIWANG,의왕ICD(오봉역),40FT,2
CARRIER_F,UIWANG,의왕ICD(오봉역),40FT,6
CARRIER_A,BUGANG,부강화물역 CY,20FT,8
CARRIER_B,BUGANG,부강화물역 CY,20FT,7
CARRIER_C,BUGANG,부강화물역 CY,20FT,3
CARRIER_D,BUGANG,부강화물역 CY,20FT,8
CARRIER_E,BUGANG,부강화물역 CY,20FT,3
CARRIER_F,BUGANG,부강화물역 CY,20FT,8
CARRIER_A,BUGANG,부강화물역 CY,40FT,2
CARRIER_B,BUGANG,부강화물역 CY,40FT,2
CARRIER_C,BUGANG,부강화물역 CY,40FT,2
CARRIER_D,BUGANG,부강화물역 CY,40FT,2
CARRIER_E,BUGANG,부강화물역 CY,40FT,0
CARRIER_F,BUGANG,부강화물역 CY,40FT,2
CARRIER_A,YAKMOK,약목역 CY,20FT,12
CARRIER_B,YAKMOK,약목역 CY,20FT,12
CARRIER_C,YAKMOK,약목역 CY,20FT,3
CARRIER_D,YAKMOK,약목역 CY,20FT,18
CARRIER_E,YAKMOK,약목역 CY,20FT,4
CARRIER_F,YAKMOK,약목역 CY,20FT,6
CARRIER_A,YAKMOK,약목역 CY,40FT,4
CARRIER_B,YAKMOK,약목역 CY,40FT,3
CARRIER_C,YAKMOK,약목역 CY,40FT,4
CARRIER_D,YAKMOK,약목역 CY,40FT,3
CARRIER_E,YAKMOK,약목역 CY,40FT,0
CARRIER_F,YAKMOK,약목역 CY,40FT,1
CARRIER_A,BUSAN,부산신항,20FT,45
CARRIER_B,BUSAN,부산신항,20FT,16
CARRIER_C,BUSAN,부산신항,20FT,2
CARRIER_D,BUSAN,부산신항,20FT,74
CARRIER_E,BUSAN,부산신항,20FT,4
CARRIER_F,BUSAN,부산신항,20FT,3
CARRIER_A,BUSAN,부산신항,40FT,18
CARRIER_B,BUSAN,부산신항,40FT,4
CARRIER_C,BUSAN,부산신항,40FT,6
CARRIER_D,BUSAN,부산신항,40FT,10
CARRIER_E,BUSAN,부산신항,40FT,0
CARRIER_F,BUSAN,부산신항,40FT,0
CARRIER_A,DONGSAN,동산역 CY,20FT,2
CARRIER_B,DONGSAN,동산역 CY,20FT,1
CARRIER_C,DONGSAN,동산역 CY,20FT,2
CARRIER_D,DONGSAN,동산역 CY,20FT,1
CARRIER_E,DONGSAN,동산역 CY,20FT,2
CARRIER_F,DONGSAN,동산역 CY,20FT,5
CARRIER_A,DONGSAN,동산역 CY,40FT,0
CARRIER_B,DONGSAN,동산역 CY,40FT,1
CARRIER_C,DONGSAN,동산역 CY,40FT,0
CARRIER_D,DONGSAN,동산역 CY,40FT,1
CARRIER_E,DONGSAN,동산역 CY,40FT,0
CARRIER_F,DONGSAN,동산역 CY,40FT,2
CARRIER_A,GWANGYANG,신광양항,20FT,6
CARRIER_B,GWANGYANG,신광양항,20FT,3
CARRIER_C,GWANGYANG,신광양항,20FT,17
CARRIER_D,GWANGYANG,신광양항,20FT,0
CARRIER_E,GWANGYANG,신광양항,20FT,4
CARRIER_F,GWANGYANG,신광양항,20FT,14
CARRIER_A,GWANGYANG,신광양항,40FT,1
CARRIER_B,GWANGYANG,신광양항,40FT,1
CARRIER_C,GWANGYANG,신광양항,40FT,2
CARRIER_D,GWANGYANG,신광양항,40FT,2
CARRIER_E,GWANGYANG,신광양항,40FT,1
CARRIER_F,GWANGYANG,신광양항,40FT,5
