carrier_id,hub_code,hub_name,container_size,base_prior_share,demand_share,supply_share,carrier_type,supply_role_hub,demand_role_hub,is_supply_base,is_demand_base,source_type,source_note,lambda_value,role_tilt,random_seed
CARRIER_A,UIWANG,의왕ICD(오봉역),20FT,0.20137258,0.20137258,0.13191536,MAJOR,BUSAN,YAKMOK,False,False,BLENDED_SYNTHETIC,두 corridor 가 모두 접속하는 수도권 hub. λ=0.45 혼합 합성 profile. 실측값 아님.,0.45,1.1,20260810
CARRIER_B,UIWANG,의왕ICD(오봉역),20FT,0.16298491,0.16298491,0.32074977,MAJOR,UIWANG,BUGANG,True,False,BLENDED_SYNTHETIC,두 corridor 가 모두 접속하는 수도권 hub. λ=0.45 혼합 합성 profile. 실측값 아님.,0.45,1.1,20260810
CARRIER_C,UIWANG,의왕ICD(오봉역),20FT,0.1046118,0.1046118,0.0685292,MAJOR,GWANGYANG,DONGSAN,False,False,BLENDED_SYNTHETIC,두 corridor 가 모두 접속하는 수도권 hub. λ=0.45 혼합 합성 profile. 실측값 아님.,0.45,1.1,20260810
CARRIER_D,UIWANG,의왕ICD(오봉역),20FT,0.17154795,0.17154795,0.11237781,MAJOR,BUSAN,GWANGYANG,False,False,BLENDED_SYNTHETIC,두 corridor 가 모두 접속하는 수도권 hub. λ=0.45 혼합 합성 profile. 실측값 아님.,0.45,1.1,20260810
CARRIER_E,UIWANG,의왕ICD(오봉역),20FT,0.09973219,0.09973219,0.19627018,MAJOR,UIWANG,YAKMOK,True,False,BLENDED_SYNTHETIC,두 corridor 가 모두 접속하는 수도권 hub. λ=0.45 혼합 합성 profile. 실측값 아님.,0.45,1.1,20260810
CARRIER_F,UIWANG,의왕ICD(오봉역),20FT,0.25975057,0.25975057,0.17015768,OTHERS_POOL,NONE,NONE,False,False,BLENDED_SYNTHETIC,두 corridor 가 모두 접속하는 수도권 hub. λ=0.45 혼합 합성 profile. 실측값 아님.,0.45,1.1,20260810
CARRIER_A,UIWANG,의왕ICD(오봉역),40FT,0.19009789,0.19009789,0.13383968,MAJOR,BUSAN,YAKMOK,False,False,BLENDED_SYNTHETIC,두 corridor 가 모두 접속하는 수도권 hub. λ=0.45 혼합 합성 profile. 실측값 아님.,0.45,1.1,20260810
CARRIER_B,UIWANG,의왕ICD(오봉역),40FT,0.17056227,0.17056227,0.36075678,MAJOR,UIWANG,BUGANG,True,False,BLENDED_SYNTHETIC,두 corridor 가 모두 접속하는 수도권 hub. λ=0.45 혼합 합성 profile. 실측값 아님.,0.45,1.1,20260810
CARRIER_C,UIWANG,의왕ICD(오봉역),40FT,0.16953441,0.16953441,0.11936183,MAJOR,GWANGYANG,DONGSAN,False,False,BLENDED_SYNTHETIC,두 corridor 가 모두 접속하는 수도권 hub. λ=0.45 혼합 합성 profile. 실측값 아님.,0.45,1.1,20260810
CARRIER_D,UIWANG,의왕ICD(오봉역),40FT,0.15058246,0.15058246,0.10601858,MAJOR,BUSAN,GWANGYANG,False,False,BLENDED_SYNTHETIC,두 corridor 가 모두 접속하는 수도권 hub. λ=0.45 혼합 합성 profile. 실측값 아님.,0.45,1.1,20260810
CARRIER_E,UIWANG,의왕ICD(오봉역),40FT,0.03917097,0.03917097,0.08285064,MAJOR,UIWANG,YAKMOK,True,False,BLENDED_SYNTHETIC,두 corridor 가 모두 접속하는 수도권 hub. λ=0.45 혼합 합성 profile. 실측값 아님.,0.45,1.1,20260810
CARRIER_F,UIWANG,의왕ICD(오봉역),40FT,0.280052,0.280052,0.19717248,OTHERS_POOL,NONE,NONE,False,False,BLENDED_SYNTHETIC,두 corridor 가 모두 접속하는 수도권 hub. λ=0.45 혼합 합성 profile. 실측값 아님.,0.45,1.1,20260810
CARRIER_A,BUGANG,부강화물역 CY,20FT,0.20773591,0.15318116,0.20773591,MAJOR,BUSAN,YAKMOK,False,False,BLENDED_SYNTHETIC,경부/서남 두 축이 접속하는 중간거점. λ=0.55 혼합 합성 profile. 실측값 아님.,0.55,1.1,20260810
CARRIER_B,BUGANG,부강화물역 CY,20FT,0.17770248,0.39365086,0.17770248,MAJOR,UIWANG,BUGANG,False,True,BLENDED_SYNTHETIC,경부/서남 두 축이 접속하는 중간거점. λ=0.55 혼합 합성 profile. 실측값 아님.,0.55,1.1,20260810
CARRIER_C,BUGANG,부강화물역 CY,20FT,0.09080074,0.06695503,0.09080074,MAJOR,GWANGYANG,DONGSAN,False,False,BLENDED_SYNTHETIC,경부/서남 두 축이 접속하는 중간거점. λ=0.55 혼합 합성 profile. 실측값 아님.,0.55,1.1,20260810
CARRIER_D,BUGANG,부강화물역 CY,20FT,0.20966972,0.15460712,0.20966972,MAJOR,BUSAN,GWANGYANG,False,False,BLENDED_SYNTHETIC,경부/서남 두 축이 접속하는 중간거점. λ=0.55 혼합 합성 profile. 실측값 아님.,0.55,1.1,20260810
CARRIER_E,BUGANG,부강화물역 CY,20FT,0.09324758,0.06875929,0.09324758,MAJOR,UIWANG,YAKMOK,False,False,BLENDED_SYNTHETIC,경부/서남 두 축이 접속하는 중간거점. λ=0.55 혼합 합성 profile. 실측값 아님.,0.55,1.1,20260810
CARRIER_F,BUGANG,부강화물역 CY,20FT,0.22084357,0.16284654,0.22084357,OTHERS_POOL,NONE,NONE,False,False,BLENDED_SYNTHETIC,경부/서남 두 축이 접속하는 중간거점. λ=0.55 혼합 합성 profile. 실측값 아님.,0.55,1.1,20260810
CARRIER_A,BUGANG,부강화물역 CY,40FT,0.21300233,0.15663336,0.21300233,MAJOR,BUSAN,YAKMOK,False,False,BLENDED_SYNTHETIC,경부/서남 두 축이 접속하는 중간거점. λ=0.55 혼합 합성 profile. 실측값 아님.,0.55,1.1,20260810
CARRIER_B,BUGANG,부강화물역 CY,40FT,0.17956516,0.39668514,0.17956516,MAJOR,UIWANG,BUGANG,False,True,BLENDED_SYNTHETIC,경부/서남 두 축이 접속하는 중간거점. λ=0.55 혼합 합성 profile. 실측값 아님.,0.55,1.1,20260810
