access_date,source,carrier_code,container_size,count,definition,url
2026-08-09,PNC,COS,20FT,61,PNC terminal Empty container status; 20DC,https://svc.pncport.com/info/
2026-08-09,PNC,CSX,20FT,18,PNC terminal Empty container status; 20DC,https://svc.pncport.com/info/
2026-08-09,PNC,ESL,20FT,958,PNC terminal Empty container status; 20DC,https://svc.pncport.com/info/
2026-08-09,PNC,GFS,20FT,0,PNC terminal Empty container status; 20DC,https://svc.pncport.com/info/
2026-08-09,PNC,HLC,20FT,613,PNC terminal Empty container status; 20DC,https://svc.pncport.com/info/
2026-08-09,PNC,HMM,20FT,0,PNC terminal Empty container status; 20DC,https://svc.pncport.com/info/
2026-08-09,PNC,KMD,20FT,0,PNC terminal Empty container status; 20DC,https://svc.pncport.com/info/
2026-08-09,PNC,MAE,20FT,594,PNC terminal Empty container status; 20DC,https://svc.pncport.com/info/
2026-08-09,PNC,MSC,20FT,72,PNC terminal Empty container status; 20DC,https://svc.pncport.com/info/
2026-08-09,PNC,ONE,20FT,161,PNC terminal Empty container status; 20DC,https://svc.pncport.com/info/
2026-08-09,PNC,OOL,20FT,12,PNC terminal Empty container status; 20DC,https://svc.pncport.com/info/
2026-08-09,PNC,RCL,20FT,0,PNC terminal Empty container status; 20DC,https://svc.pncport.com/info/
2026-08-09,PNC,RSA,20FT,1,PNC terminal Empty container status; 20DC,https://svc.pncport.com/info/
2026-08-09,PNC,TSL,20FT,0,PNC terminal Empty container status; 20DC,https://svc.pncport.com/info/
2026-08-09,PNC,YML,20FT,23,PNC terminal Empty container status; 20DC,https://svc.pncport.com/info/
2026-08-09,PNC,COS,40FT,8,PNC terminal Empty container status; 40DC+40HC,https://svc.pncport.com/info/
2026-08-09,PNC,CSX,40FT,3,PNC terminal Empty container status; 40DC+40HC,https://svc.pncport.com/info/
2026-08-09,PNC,ESL,40FT,665,PNC terminal Empty container status; 40DC+40HC,https://svc.pncport.com/info/
2026-08-09,PNC,GFS,40FT,0,PNC terminal Empty container status; 40DC+40HC,https://svc.pncport.com/info/
2026-08-09,PNC,HLC,40FT,901,PNC terminal Empty container status; 40DC+40HC,https://svc.pncport.com/info/
2026-08-09,PNC,HMM,40FT,0,PNC terminal Empty container status; 40DC+40HC,https://svc.pncport.com/info/
2026-08-09,PNC,KMD,40FT,0,PNC terminal Empty container status; 40DC+40HC,https://svc.pncport.com/info/
2026-08-09,PNC,MAE,40FT,1294,PNC terminal Empty container status; 40DC+40HC,https://svc.pncport.com/info/
2026-08-09,PNC,MSC,40FT,1148,PNC terminal Empty container status; 40DC+40HC,https://svc.pncport.com/info/
2026-08-09,PNC,ONE,40FT,31,PNC terminal Empty container status; 40DC+40HC,https://svc.pncport.com/info/
2026-08-09,PNC,OOL,40FT,0,PNC terminal Empty container status; 40DC+40HC,https://svc.pncport.com/info/
2026-08-09,PNC,RCL,40FT,29,PNC terminal Empty container status; 40DC+40HC,https://svc.pncport.com/info/
2026-08-09,PNC,RSA,40FT,3,PNC terminal Empty container status; 40DC+40HC,https://svc.pncport.com/info/
2026-08-09,PNC,TSL,40FT,0,PNC terminal Empty container status; 40DC+40HC,https://svc.pncport.com/info/
2026-08-09,PNC,YML,40FT,12,PNC terminal Empty container status; 40DC+40HC,https://svc.pncport.com/info/
2026-08-09,KITL,CKL,20FT,30,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,CMA,20FT,453,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,COH,20FT,18,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,COS,20FT,101,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,DJS,20FT,76,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,DOJ,20FT,0,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,DYS,20FT,2,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,EAS,20FT,586,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,EMA,20FT,5,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,ESL,20FT,252,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,HMM,20FT,340,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,KMD,20FT,607,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,NSL,20FT,77,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,ONE,20FT,166,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,OOL,20FT,0,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,PCL,20FT,255,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,POL,20FT,249,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
2026-08-09,KITL,SIT,20FT,103,Releasable empty containers; 20,https://info.kitl.com/jsp/T05/banchul_allow.jsp
