train_id,service_family,origin_terminal,destination_terminal,path,work_stops,stop_pattern,work_stop_count,origin_departure_time,destination_arrival_time,service_distance_km,candidate_source,timetable_basis
CAND0001,TRUNK,UIWANG,BUGANG,UIWANG|BUGANG,UIWANG|BUGANG,SS,2,2026-08-10 06:00,2026-08-10 08:00,111.8,PROTOTYPE_SYNTHETIC,PROTOTYPE_6H_SYNTHETIC
CAND0002,TRUNK,UIWANG,BUGANG,UIWANG|BUGANG,UIWANG|BUGANG,SS,2,2026-08-10 12:00,2026-08-10 14:00,111.8,PROTOTYPE_SYNTHETIC,PROTOTYPE_6H_SYNTHETIC
CAND0003,TRUNK,UIWANG,BUGANG,UIWANG|BUGANG,UIWANG|BUGANG,SS,2,2026-08-10 18:00,2026-08-10 20:00,111.8,PROTOTYPE_SYNTHETIC,PROTOTYPE_6H_SYNTHETIC
CAND0004,TRUNK,UIWANG,BUGANG,UIWANG|BUGANG,UIWANG|BUGANG,SS,2,2026-08-11 00:00,2026-08-11 02:00,111.8,PROTOTYPE_SYNTHETIC,PROTOTYPE_6H_SYNTHETIC
CAND0005,TRUNK,UIWANG,BUGANG,UIWANG|BUGANG,UIWANG|BUGANG,SS,2,2026-08-11 06:00,2026-08-11 08:00,111.8,PROTOTYPE_SYNTHETIC,PROTOTYPE_6H_SYNTHETIC
CAND0006,TRUNK,UIWANG,BUGANG,UIWANG|BUGANG,UIWANG|BUGANG,SS,2,2026-08-11 12:00,2026-08-11 14:00,111.8,PROTOTYPE_SYNTHETIC,PROTOTYPE_6H_SYNTHETIC
CAND0007,TRUNK,UIWANG,BUGANG,UIWANG|BUGANG,UIWANG|BUGANG,SS,2,2026-08-11 18:00,2026-08-11 20:00,111.8,PROTOTYPE_SYNTHETIC,PROTOTYPE_6H_SYNTHETIC
CAND0008,TRUNK,UIWANG,BUGANG,UIWANG|BUGANG,UIWANG|BUGANG,SS,2,2026-08-12 00:00,2026-08-12 02:00,111.8,PROTOTYPE_SYNTHETIC,PROTOTYPE_6H_SYNTHETIC
CAND0009,TRUNK,UIWANG,BUGANG,UIWANG|BUGANG,UIWANG|BUGANG,SS,2,2026-08-12 06:00,2026-08-12 08:00,111.8,PROTOTYPE_SYNTHETIC,PROTOTYPE_6H_SYNTHETIC
CAND0010,TRUNK,UIWANG,BUGANG,UIWANG|BUGANG,UIWANG|BUGANG,SS,2,2026-08-12 12:00,2026-08-12 14:00,111.8,PROTOTYPE_SYNTHETIC,PROTOTYPE_6H_SYNTHETIC
