recommendation_id,carrier_id,container_size,quantity_boxes,quantity_teu,origin_hub,origin_name,destination_hub,destination_name,train_id,departure_time,arrival_time,available_time,need_count,service_due_time_earliest,service_due_time_latest,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw,participating_carrier_count,train_load_factor,max_earliness_hours,need_ids
REC0001,CARRIER_A,20FT,8,8,BUGANG,부강화물역 CY,GWANGYANG,신광양항,CAND0702,2026-08-11 17:00,2026-08-12 00:00,2026-08-12 03:00,8,2026-08-12 07:00,2026-08-14 18:00,278.8,278.8,851655.92,6,0.5973,63,NEED0004|NEED0005|NEED0006|NEED0007|NEED0008|NEED0009|NEED0010|NEED0011
REC0002,CARRIER_A,20FT,16,16,BUSAN,부산신항,YAKMOK,약목역 CY,CAND0292,2026-08-12 00:00,2026-08-12 03:00,2026-08-12 06:00,13,2026-08-12 06:00,2026-08-14 18:00,143.7,143.7,877926.56,1,0.5152,60,NEED0019|NEED0020|NEED0021|NEED0022|NEED0023|NEED0024|NEED0025|NEED0026|NEED0027|NEED0028|NEED0029|NEED0030|NEED0031
REC0003,CARRIER_A,40FT,9,18,BUSAN,부산신항,YAKMOK,약목역 CY,CAND0292,2026-08-12 00:00,2026-08-12 03:00,2026-08-12 06:00,8,2026-08-12 09:00,2026-08-14 19:00,143.7,143.7,765633.6,1,0.5152,61,NEED0037|NEED0038|NEED0039|NEED0040|NEED0041|NEED0042|NEED0043|NEED0044
REC0004,CARRIER_A,20FT,7,7,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,CAND0156,2026-08-10 06:00,2026-08-10 13:00,2026-08-10 16:00,6,2026-08-10 17:00,2026-08-11 11:00,264.4,258.6,691206.75,5,0.5019,19,NEED0013|NEED0014|NEED0015|NEED0016|NEED0017|NEED0018
REC0005,CARRIER_A,40FT,3,6,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,CAND0156,2026-08-10 06:00,2026-08-10 13:00,2026-08-10 16:00,3,2026-08-10 17:00,2026-08-11 18:00,264.4,258.6,459273.6,5,0.5019,26,NEED0034|NEED0035|NEED0036
REC0006,CARRIER_B,20FT,8,8,UIWANG,의왕ICD(오봉역),BUGANG,부강화물역 CY,CAND0702,2026-08-11 12:00,2026-08-11 14:00,2026-08-11 17:00,7,2026-08-13 10:00,2026-08-14 17:00,111.8,111.8,341517.68,6,0.5973,72,NEED0048|NEED0049|NEED0050|NEED0051|NEED0052|NEED0053|NEED0054
REC0007,CARRIER_B,20FT,10,10,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,CAND0156,2026-08-10 06:00,2026-08-10 18:00,2026-08-10 21:00,10,2026-08-12 06:00,2026-08-13 12:00,408.1,402.3,1536142.3,5,0.5019,63,NEED0064|NEED0065|NEED0066|NEED0067|NEED0068|NEED0069|NEED0070|NEED0071|NEED0072|NEED0073
REC0008,CARRIER_B,20FT,5,5,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,CAND0702,2026-08-11 12:00,2026-08-12 00:00,2026-08-12 03:00,5,2026-08-12 10:00,2026-08-14 10:00,390.6,384.8,734660.15,6,0.5973,55,NEED0077|NEED0078|NEED0079|NEED0080|NEED0081
REC0009,CARRIER_B,20FT,6,6,YAKMOK,약목역 CY,BUSAN,부산신항,CAND0156,2026-08-10 16:00,2026-08-10 18:00,2026-08-10 21:00,5,2026-08-11 13:00,2026-08-11 18:00,143.7,143.7,329222.46,5,0.5019,21,NEED0059|NEED0060|NEED0061|NEED0062|NEED0063
REC0010,CARRIER_C,20FT,3,3,BUGANG,부강화물역 CY,DONGSAN,동산역 CY,CAND0702,2026-08-11 17:00,2026-08-11 19:00,2026-08-11 22:00,3,2026-08-12 18:00,2026-08-13 14:00,130.2,130.2,149146.71,6,0.5973,40,NEED0084|NEED0085|NEED0086
REC0011,CARRIER_C,40FT,1,2,BUGANG,부강화물역 CY,DONGSAN,동산역 CY,CAND0702,2026-08-11 17:00,2026-08-11 19:00,2026-08-11 22:00,1,2026-08-12 06:00,2026-08-12 06:00,130.2,130.2,77078.4,6,0.5973,8,NEED0093
REC0012,CARRIER_C,20FT,3,3,UIWANG,의왕ICD(오봉역),DONGSAN,동산역 CY,CAND0702,2026-08-11 12:00,2026-08-11 19:00,2026-08-11 22:00,3,2026-08-14 06:00,2026-08-14 12:00,242.0,236.2,270571.83,6,0.5973,62,NEED0087|NEED0088|NEED0089
REC0013,CARRIER_C,20FT,2,2,YAKMOK,약목역 CY,BUSAN,부산신항,CAND0156,2026-08-10 16:00,2026-08-10 18:00,2026-08-10 21:00,2,2026-08-11 13:00,2026-08-12 14:00,143.7,143.7,109740.82,5,0.5019,41,NEED0082|NEED0083
REC0014,CARRIER_D,40FT,2,4,BUGANG,부강화물역 CY,GWANGYANG,신광양항,CAND0702,2026-08-11 17:00,2026-08-12 00:00,2026-08-12 03:00,2,2026-08-12 18:00,2026-08-13 08:00,278.8,278.8,330099.2,6,0.5973,29,NEED0095|NEED0096
REC0015,CARRIER_D,40FT,1,2,DONGSAN,동산역 CY,GWANGYANG,신광양항,CAND0702,2026-08-11 22:00,2026-08-12 00:00,2026-08-12 03:00,1,2026-08-14 17:00,2026-08-14 17:00,148.6,148.6,87971.2,6,0.5973,62,NEED0097
REC0016,CARRIER_E,20FT,4,4,BUGANG,부강화물역 CY,GWANGYANG,신광양항,CAND0702,2026-08-11 17:00,2026-08-12 00:00,2026-08-12 03:00,4,2026-08-12 05:00,2026-08-13 17:00,278.8,278.8,425827.96,6,0.5973,38,NEED0106|NEED0107|NEED0108|NEED0109
REC0017,CARRIER_E,20FT,4,4,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,CAND0156,2026-08-10 06:00,2026-08-10 18:00,2026-08-10 21:00,4,2026-08-11 15:00,2026-08-13 09:00,408.1,402.3,614456.92,5,0.5019,60,NEED0098|NEED0099|NEED0100|NEED0101
REC0018,CARRIER_E,20FT,1,1,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,CAND0702,2026-08-11 12:00,2026-08-12 00:00,2026-08-12 03:00,1,2026-08-14 16:00,2026-08-14 16:00,390.6,384.8,146932.03,6,0.5973,61,NEED0110
REC0019,CARRIER_E,20FT,5,5,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,CAND0156,2026-08-10 06:00,2026-08-10 13:00,2026-08-10 16:00,5,2026-08-11 11:00,2026-08-13 16:00,264.4,258.6,493719.1,5,0.5019,72,NEED0112|NEED0113|NEED0114|NEED0115|NEED0116
REC0020,CARRIER_E,40FT,1,2,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,CAND0156,2026-08-10 06:00,2026-08-10 13:00,2026-08-10 16:00,1,2026-08-12 10:00,2026-08-12 10:00,264.4,258.6,153091.2,5,0.5019,42,NEED0121
