train_id,carrier_id,origin,destination,container_size,boxes,teu
CAND0156,CARRIER_A,UIWANG,YAKMOK,20FT,7,7
CAND0156,CARRIER_A,UIWANG,YAKMOK,40FT,3,6
CAND0156,CARRIER_B,UIWANG,BUSAN,20FT,10,10
CAND0156,CARRIER_B,YAKMOK,BUSAN,20FT,6,6
CAND0156,CARRIER_C,YAKMOK,BUSAN,20FT,2,2
CAND0156,CARRIER_E,UIWANG,BUSAN,20FT,4,4
CAND0156,CARRIER_E,UIWANG,YAKMOK,20FT,5,5
CAND0156,CARRIER_E,UIWANG,YAKMOK,40FT,1,2
CAND0156,CARRIER_F,UIWANG,BUSAN,20FT,3,3
CAND0156,CARRIER_F,YAKMOK,BUSAN,20FT,1,1
CAND0292,CARRIER_A,BUSAN,YAKMOK,20FT,16,16
CAND0292,CARRIER_A,BUSAN,YAKMOK,40FT,9,18
CAND0702,CARRIER_A,BUGANG,GWANGYANG,20FT,8,8
CAND0702,CARRIER_B,UIWANG,BUGANG,20FT,8,8
CAND0702,CARRIER_B,UIWANG,GWANGYANG,20FT,5,5
CAND0702,CARRIER_C,BUGANG,DONGSAN,20FT,3,3
CAND0702,CARRIER_C,BUGANG,DONGSAN,40FT,1,2
CAND0702,CARRIER_C,UIWANG,DONGSAN,20FT,3,3
CAND0702,CARRIER_D,BUGANG,GWANGYANG,40FT,2,4
CAND0702,CARRIER_D,DONGSAN,GWANGYANG,40FT,1,2
CAND0702,CARRIER_E,BUGANG,GWANGYANG,20FT,4,4
CAND0702,CARRIER_E,UIWANG,GWANGYANG,20FT,1,1
CAND0702,CARRIER_F,BUGANG,GWANGYANG,20FT,9,9
CAND0702,CARRIER_F,UIWANG,GWANGYANG,20FT,9,9
