detail_id,need_id,carrier_id,origin_hub,origin_name,destination_hub,destination_name,container_size,quantity_boxes,quantity_teu,train_id,load_start_time,departure_time,arrival_time,available_time,model_load_start_slot,model_departure_slot,model_arrival_slot,model_available_slot,service_due_time,earliness_hours,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw
DETAIL0001,NEED0004,CARRIER_A,BUGANG,부강화물역 CY,GWANGYANG,신광양항,20FT,1,1,CAND0702,2026-08-11 14:00,2026-08-11 17:00,2026-08-12 00:00,2026-08-12 03:00,38,41,48,51,2026-08-12 07:00,4,278.8,278.8,106456.99
DETAIL0002,NEED0005,CARRIER_A,BUGANG,부강화물역 CY,GWANGYANG,신광양항,20FT,1,1,CAND0702,2026-08-11 14:00,2026-08-11 17:00,2026-08-12 00:00,2026-08-12 03:00,38,41,48,51,2026-08-12 11:00,8,278.8,278.8,106456.99
DETAIL0003,NEED0006,CARRIER_A,BUGANG,부강화물역 CY,GWANGYANG,신광양항,20FT,1,1,CAND0702,2026-08-11 14:00,2026-08-11 17:00,2026-08-12 00:00,2026-08-12 03:00,38,41,48,51,2026-08-13 10:00,31,278.8,278.8,106456.99
DETAIL0004,NEED0007,CARRIER_A,BUGANG,부강화물역 CY,GWANGYANG,신광양항,20FT,1,1,CAND0702,2026-08-11 14:00,2026-08-11 17:00,2026-08-12 00:00,2026-08-12 03:00,38,41,48,51,2026-08-13 11:00,32,278.8,278.8,106456.99
DETAIL0005,NEED0008,CARRIER_A,BUGANG,부강화물역 CY,GWANGYANG,신광양항,20FT,1,1,CAND0702,2026-08-11 14:00,2026-08-11 17:00,2026-08-12 00:00,2026-08-12 03:00,38,41,48,51,2026-08-13 16:00,37,278.8,278.8,106456.99
DETAIL0006,NEED0009,CARRIER_A,BUGANG,부강화물역 CY,GWANGYANG,신광양항,20FT,1,1,CAND0702,2026-08-11 14:00,2026-08-11 17:00,2026-08-12 00:00,2026-08-12 03:00,38,41,48,51,2026-08-14 10:00,55,278.8,278.8,106456.99
DETAIL0007,NEED0010,CARRIER_A,BUGANG,부강화물역 CY,GWANGYANG,신광양항,20FT,1,1,CAND0702,2026-08-11 14:00,2026-08-11 17:00,2026-08-12 00:00,2026-08-12 03:00,38,41,48,51,2026-08-14 14:00,59,278.8,278.8,106456.99
DETAIL0008,NEED0011,CARRIER_A,BUGANG,부강화물역 CY,GWANGYANG,신광양항,20FT,1,1,CAND0702,2026-08-11 14:00,2026-08-11 17:00,2026-08-12 00:00,2026-08-12 03:00,38,41,48,51,2026-08-14 18:00,63,278.8,278.8,106456.99
DETAIL0009,NEED0013,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,1,1,CAND0156,2026-08-10 03:00,2026-08-10 06:00,2026-08-10 13:00,2026-08-10 16:00,3,6,13,16,2026-08-10 17:00,1,264.4,258.6,98743.82
DETAIL0010,NEED0014,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,1,1,CAND0156,2026-08-10 03:00,2026-08-10 06:00,2026-08-10 13:00,2026-08-10 16:00,3,6,13,16,2026-08-10 18:00,2,264.4,258.6,98743.82
DETAIL0011,NEED0015,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,1,1,CAND0156,2026-08-10 03:00,2026-08-10 06:00,2026-08-10 13:00,2026-08-10 16:00,3,6,13,16,2026-08-11 07:00,15,264.4,258.6,98743.82
DETAIL0012,NEED0016,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,1,1,CAND0156,2026-08-10 03:00,2026-08-10 06:00,2026-08-10 13:00,2026-08-10 16:00,3,6,13,16,2026-08-11 09:00,17,264.4,258.6,98743.82
DETAIL0013,NEED0017,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,1,1,CAND0156,2026-08-10 03:00,2026-08-10 06:00,2026-08-10 13:00,2026-08-10 16:00,3,6,13,16,2026-08-11 10:00,18,264.4,258.6,98743.82
