recommendation_id,carrier_id,destination_hub,container_size,linked_service_need_teu,linked_need_count,linked_need_due_min,linked_need_due_max,origin_hub,source_release_capacity_cumulative_boxes,assigned_outbound_cumulative_boxes_through_load,source_release_remaining_after_assignment_boxes,recommended_boxes,recommended_teu,train_id,train_load_factor,participating_carrier_count,service_due_time_earliest,service_due_time_latest,arrival_time,available_time,earliness_hours,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw
REC0001,CARRIER_A,GWANGYANG,20FT,8,8,2026-08-12 07:00,2026-08-14 18:00,BUGANG,8,8,0,8,8,CAND0702,0.5973,6,2026-08-12 07:00,2026-08-14 18:00,2026-08-12 00:00,2026-08-12 03:00,63,278.8,278.8,851655.92
REC0002,CARRIER_A,YAKMOK,20FT,16,13,2026-08-12 06:00,2026-08-14 18:00,BUSAN,28,16,12,16,16,CAND0292,0.5152,1,2026-08-12 06:00,2026-08-14 18:00,2026-08-12 03:00,2026-08-12 06:00,60,143.7,143.7,877926.56
REC0003,CARRIER_A,YAKMOK,40FT,18,8,2026-08-12 09:00,2026-08-14 19:00,BUSAN,62,9,53,9,18,CAND0292,0.5152,1,2026-08-12 09:00,2026-08-14 19:00,2026-08-12 03:00,2026-08-12 06:00,61,143.7,143.7,765633.6
REC0004,CARRIER_A,YAKMOK,20FT,7,6,2026-08-10 17:00,2026-08-11 11:00,UIWANG,14,7,7,7,7,CAND0156,0.5019,5,2026-08-10 17:00,2026-08-11 11:00,2026-08-10 13:00,2026-08-10 16:00,19,264.4,258.6,691206.75
REC0005,CARRIER_A,YAKMOK,40FT,6,3,2026-08-10 17:00,2026-08-11 18:00,UIWANG,4,3,1,3,6,CAND0156,0.5019,5,2026-08-10 17:00,2026-08-11 18:00,2026-08-10 13:00,2026-08-10 16:00,26,264.4,258.6,459273.6
REC0006,CARRIER_B,BUGANG,20FT,8,7,2026-08-13 10:00,2026-08-14 17:00,UIWANG,47,23,24,8,8,CAND0702,0.5973,6,2026-08-13 10:00,2026-08-14 17:00,2026-08-11 14:00,2026-08-11 17:00,72,111.8,111.8,341517.68
REC0007,CARRIER_B,BUSAN,20FT,10,10,2026-08-12 06:00,2026-08-13 12:00,UIWANG,35,10,25,10,10,CAND0156,0.5019,5,2026-08-12 06:00,2026-08-13 12:00,2026-08-10 18:00,2026-08-10 21:00,63,408.1,402.3,1536142.3
REC0008,CARRIER_B,GWANGYANG,20FT,5,5,2026-08-12 10:00,2026-08-14 10:00,UIWANG,47,23,24,5,5,CAND0702,0.5973,6,2026-08-12 10:00,2026-08-14 10:00,2026-08-12 00:00,2026-08-12 03:00,55,390.6,384.8,734660.15
REC0009,CARRIER_B,BUSAN,20FT,6,5,2026-08-11 13:00,2026-08-11 18:00,YAKMOK,12,6,6,6,6,CAND0156,0.5019,5,2026-08-11 13:00,2026-08-11 18:00,2026-08-10 18:00,2026-08-10 21:00,21,143.7,143.7,329222.46
REC0010,CARRIER_C,DONGSAN,20FT,3,3,2026-08-12 18:00,2026-08-13 14:00,BUGANG,3,3,0,3,3,CAND0702,0.5973,6,2026-08-12 18:00,2026-08-13 14:00,2026-08-11 19:00,2026-08-11 22:00,40,130.2,130.2,149146.71
REC0011,CARRIER_C,DONGSAN,40FT,2,1,2026-08-12 06:00,2026-08-12 06:00,BUGANG,3,1,2,1,2,CAND0702,0.5973,6,2026-08-12 06:00,2026-08-12 06:00,2026-08-11 19:00,2026-08-11 22:00,8,130.2,130.2,77078.4
REC0012,CARRIER_C,DONGSAN,20FT,3,3,2026-08-14 06:00,2026-08-14 12:00,UIWANG,8,3,5,3,3,CAND0702,0.5973,6,2026-08-14 06:00,2026-08-14 12:00,2026-08-11 19:00,2026-08-11 22:00,62,242.0,236.2,270571.83
REC0013,CARRIER_C,BUSAN,20FT,2,2,2026-08-11 13:00,2026-08-12 14:00,YAKMOK,2,2,0,2,2,CAND0156,0.5019,5,2026-08-11 13:00,2026-08-12 14:00,2026-08-10 18:00,2026-08-10 21:00,41,143.7,143.7,109740.82
REC0014,CARRIER_D,GWANGYANG,40FT,4,2,2026-08-12 18:00,2026-08-13 08:00,BUGANG,3,2,1,2,4,CAND0702,0.5973,6,2026-08-12 18:00,2026-08-13 08:00,2026-08-12 00:00,2026-08-12 03:00,29,278.8,278.8,330099.2
REC0015,CARRIER_D,GWANGYANG,40FT,2,1,2026-08-14 17:00,2026-08-14 17:00,DONGSAN,2,1,1,1,2,CAND0702,0.5973,6,2026-08-14 17:00,2026-08-14 17:00,2026-08-12 00:00,2026-08-12 03:00,62,148.6,148.6,87971.2
REC0016,CARRIER_E,GWANGYANG,20FT,4,4,2026-08-12 05:00,2026-08-13 17:00,BUGANG,4,4,0,4,4,CAND0702,0.5973,6,2026-08-12 05:00,2026-08-13 17:00,2026-08-12 00:00,2026-08-12 03:00,38,278.8,278.8,425827.96
REC0017,CARRIER_E,BUSAN,20FT,4,4,2026-08-11 15:00,2026-08-13 09:00,UIWANG,22,9,13,4,4,CAND0156,0.5019,5,2026-08-11 15:00,2026-08-13 09:00,2026-08-10 18:00,2026-08-10 21:00,60,408.1,402.3,614456.92
