train_id,stop_sequence,hub,hub_name,stop_type,load_start,arrival,departure,available,actual_load_start_time,actual_arrival_time,actual_departure_time,actual_available_time,model_load_start_slot,model_arrival_slot,model_departure_slot,model_available_slot,load_teu,unload_teu
CAND0156,1,UIWANG,의왕ICD(오봉역),WORK_STOP,2026-08-10 03:00,2026-08-10 06:00,2026-08-10 06:00,2026-08-10 09:00,2026-08-10 03:00,2026-08-10 06:00,2026-08-10 06:00,2026-08-10 09:00,3,6,6,9,37,0
CAND0156,2,BUGANG,부강화물역 CY,WORK_STOP,2026-08-10 08:00,2026-08-10 08:00,2026-08-10 11:00,2026-08-10 11:00,2026-08-10 08:00,2026-08-10 08:00,2026-08-10 11:00,2026-08-10 11:00,8,8,11,11,0,0
CAND0156,3,YAKMOK,약목역 CY,WORK_STOP,2026-08-10 13:00,2026-08-10 13:00,2026-08-10 16:00,2026-08-10 16:00,2026-08-10 13:00,2026-08-10 13:00,2026-08-10 16:00,2026-08-10 16:00,13,13,16,16,9,20
CAND0156,4,BUSAN,부산신항,WORK_STOP,2026-08-10 18:00,2026-08-10 18:00,2026-08-10 18:00,2026-08-10 21:00,2026-08-10 18:00,2026-08-10 18:00,2026-08-10 18:00,2026-08-10 21:00,18,18,18,21,0,26
CAND0292,1,BUSAN,부산신항,WORK_STOP,2026-08-11 21:00,2026-08-12 00:00,2026-08-12 00:00,2026-08-12 03:00,2026-08-11 21:00,2026-08-12 00:00,2026-08-12 00:00,2026-08-12 03:00,45,48,48,51,34,0
CAND0292,2,YAKMOK,약목역 CY,WORK_STOP,2026-08-12 03:00,2026-08-12 03:00,2026-08-12 03:00,2026-08-12 06:00,2026-08-12 03:00,2026-08-12 03:00,2026-08-12 03:00,2026-08-12 06:00,51,51,51,54,0,34
CAND0702,1,UIWANG,의왕ICD(오봉역),WORK_STOP,2026-08-11 09:00,2026-08-11 12:00,2026-08-11 12:00,2026-08-11 15:00,2026-08-11 09:00,2026-08-11 12:00,2026-08-11 12:00,2026-08-11 15:00,33,36,36,39,26,0
CAND0702,2,BUGANG,부강화물역 CY,WORK_STOP,2026-08-11 14:00,2026-08-11 14:00,2026-08-11 17:00,2026-08-11 17:00,2026-08-11 14:00,2026-08-11 14:00,2026-08-11 17:00,2026-08-11 17:00,38,38,41,41,30,8
CAND0702,3,DONGSAN,동산역 CY,WORK_STOP,2026-08-11 19:00,2026-08-11 19:00,2026-08-11 22:00,2026-08-11 22:00,2026-08-11 19:00,2026-08-11 19:00,2026-08-11 22:00,2026-08-11 22:00,43,43,46,46,2,8
CAND0702,4,GWANGYANG,신광양항,WORK_STOP,2026-08-12 00:00,2026-08-12 00:00,2026-08-12 00:00,2026-08-12 03:00,2026-08-12 00:00,2026-08-12 00:00,2026-08-12 00:00,2026-08-12 03:00,48,48,48,51,0,42
