detail_id,need_id,carrier_id,origin,destination,container_size,quantity,teu,original_need_due_time,effective_need_due_time,earliest_allowed_arrival,train_id,departure_time,arrival_time,earliness_hours,estimated_rail_charge_krw
DETAIL0001,NEED0011,CARRIER_A,BUSAN,YAKMOK,20FT,1,1,2026-08-14 11:00,2026-08-14 11:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,50,54870.41
DETAIL0002,NEED0012,CARRIER_A,BUSAN,YAKMOK,20FT,1,1,2026-08-14 15:00,2026-08-14 15:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,54,54870.41
DETAIL0003,NEED0013,CARRIER_A,BUSAN,YAKMOK,20FT,1,1,2026-08-14 16:00,2026-08-14 16:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,55,54870.41
DETAIL0004,NEED0014,CARRIER_A,BUSAN,YAKMOK,20FT,2,2,2026-08-15 10:00,2026-08-15 10:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,73,109740.82
DETAIL0005,NEED0015,CARRIER_A,BUSAN,YAKMOK,40FT,1,2,2026-08-14 18:00,2026-08-14 18:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,57,85070.4
DETAIL0006,NEED0016,CARRIER_A,BUSAN,YAKMOK,40FT,1,2,2026-08-14 19:00,2026-08-14 19:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,58,85070.4
DETAIL0007,NEED0017,CARRIER_A,BUSAN,YAKMOK,40FT,1,2,2026-08-15 15:00,2026-08-15 15:00,2026-08-10 00:00,CAND0177,2026-08-12 06:00,2026-08-12 09:00,78,85070.4
DETAIL0008,NEED0001,CARRIER_A,UIWANG,BUGANG,40FT,1,2,2026-08-16 10:00,2026-08-16 10:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 02:00,128,66185.6
DETAIL0009,NEED0002,CARRIER_A,UIWANG,BUGANG,40FT,1,2,2026-08-16 13:00,2026-08-16 13:00,2026-08-10 00:00,CAND0367,2026-08-11 00:00,2026-08-11 02:00,131,66185.6
DETAIL0010,NEED0004,CARRIER_A,BUGANG,DONGSAN,20FT,1,1,2026-08-16 07:00,2026-08-16 07:00,2026-08-10 00:00,CAND0367,2026-08-11 03:00,2026-08-11 05:00,122,49715.57
DETAIL0011,NEED0005,CARRIER_A,BUGANG,DONGSAN,20FT,1,1,2026-08-16 13:00,2026-08-16 13:00,2026-08-10 00:00,CAND0367,2026-08-11 03:00,2026-08-11 05:00,128,49715.57
