need_id,carrier_id,destination,destination_name,container_size,quantity,teu,due_time,due_slot,priority,need_reason,inventory_lb,rail_served_quantity,rail_served_teu,raw_forecast_unserved_quantity,raw_forecast_unserved_teu,carrier_commitment_quantity,korail_confirmed_quantity,korail_unconfirmed_commitment_quantity,noncommitted_quantity
NEED0001,CARRIER_A,BUGANG,부강화물역 CY,40FT,1,2,2026-08-16 10:00,154,1,FORECAST_STOCKOUT,0,1,2,0,0,0,0,0,0
NEED0002,CARRIER_A,BUGANG,부강화물역 CY,40FT,1,2,2026-08-16 13:00,157,1,FORECAST_STOCKOUT,0,1,2,0,0,0,0,0,0
NEED0003,CARRIER_A,BUGANG,부강화물역 CY,40FT,1,2,2026-08-16 19:00,163,1,FORECAST_STOCKOUT,0,0,0,1,2,0,0,0,0
NEED0004,CARRIER_A,DONGSAN,동산역 CY,20FT,1,1,2026-08-16 07:00,151,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0005,CARRIER_A,DONGSAN,동산역 CY,20FT,1,1,2026-08-16 13:00,157,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0006,CARRIER_A,DONGSAN,동산역 CY,40FT,1,2,2026-08-15 07:00,127,1,FORECAST_STOCKOUT,0,1,2,0,0,0,0,0,0
NEED0007,CARRIER_A,GWANGYANG,신광양항,20FT,1,1,2026-08-15 11:00,131,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0008,CARRIER_A,GWANGYANG,신광양항,20FT,1,1,2026-08-15 12:00,132,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0009,CARRIER_A,GWANGYANG,신광양항,20FT,1,1,2026-08-15 16:00,136,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0010,CARRIER_A,GWANGYANG,신광양항,40FT,1,2,2026-08-15 08:00,128,1,FORECAST_STOCKOUT,0,1,2,0,0,0,0,0,0
NEED0011,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2026-08-14 11:00,107,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0012,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2026-08-14 15:00,111,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0013,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2026-08-14 16:00,112,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0014,CARRIER_A,YAKMOK,약목역 CY,20FT,2,2,2026-08-15 10:00,130,1,FORECAST_STOCKOUT,0,2,2,0,0,0,0,0,0
NEED0015,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-14 18:00,114,1,FORECAST_STOCKOUT,0,1,2,0,0,0,0,0,0
NEED0016,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-14 19:00,115,1,FORECAST_STOCKOUT,0,1,2,0,0,0,0,0,0
NEED0017,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-15 15:00,135,1,FORECAST_STOCKOUT,0,1,2,0,0,0,0,0,0
NEED0018,CARRIER_B,BUGANG,부강화물역 CY,20FT,1,1,2026-08-11 10:00,34,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0019,CARRIER_B,DONGSAN,동산역 CY,20FT,1,1,2026-08-13 13:00,85,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0020,CARRIER_B,DONGSAN,동산역 CY,20FT,1,1,2026-08-14 06:00,102,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0021,CARRIER_B,DONGSAN,동산역 CY,20FT,1,1,2026-08-14 09:00,105,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0022,CARRIER_B,DONGSAN,동산역 CY,20FT,1,1,2026-08-14 11:00,107,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0023,CARRIER_B,DONGSAN,동산역 CY,20FT,2,2,2026-08-16 11:00,155,1,FORECAST_STOCKOUT,0,2,2,0,0,0,0,0,0
NEED0024,CARRIER_B,GWANGYANG,신광양항,20FT,1,1,2026-08-13 16:00,88,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0025,CARRIER_B,GWANGYANG,신광양항,20FT,1,1,2026-08-14 10:00,106,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0026,CARRIER_B,GWANGYANG,신광양항,20FT,1,1,2026-08-14 14:00,110,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0027,CARRIER_B,GWANGYANG,신광양항,20FT,1,1,2026-08-15 08:00,128,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0028,CARRIER_B,GWANGYANG,신광양항,20FT,1,1,2026-08-15 10:00,130,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0029,CARRIER_B,YAKMOK,약목역 CY,20FT,1,1,2026-08-15 11:00,131,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0030,CARRIER_B,YAKMOK,약목역 CY,20FT,1,1,2026-08-15 14:00,134,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0031,CARRIER_B,YAKMOK,약목역 CY,20FT,1,1,2026-08-15 15:00,135,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0032,CARRIER_B,YAKMOK,약목역 CY,20FT,1,1,2026-08-15 16:00,136,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0033,CARRIER_B,YAKMOK,약목역 CY,20FT,1,1,2026-08-16 06:00,150,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0034,CARRIER_B,YAKMOK,약목역 CY,20FT,1,1,2026-08-16 11:00,155,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0035,CARRIER_B,YAKMOK,약목역 CY,20FT,1,1,2026-08-16 12:00,156,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0036,CARRIER_B,YAKMOK,약목역 CY,40FT,1,2,2026-08-12 15:00,63,1,FORECAST_STOCKOUT,0,1,2,0,0,0,0,0,0
NEED0037,CARRIER_B,YAKMOK,약목역 CY,40FT,1,2,2026-08-14 10:00,106,1,FORECAST_STOCKOUT,0,1,2,0,0,0,0,0,0
NEED0038,CARRIER_B,YAKMOK,약목역 CY,40FT,1,2,2026-08-16 11:00,155,1,FORECAST_STOCKOUT,0,1,2,0,0,0,0,0,0
NEED0039,CARRIER_C,DONGSAN,동산역 CY,20FT,3,3,2026-08-15 08:00,128,1,FORECAST_STOCKOUT,0,3,3,0,0,0,0,0,0
NEED0040,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2026-08-15 10:00,130,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
NEED0041,CARRIER_C,GWANGYANG,신광양항,20FT,1,1,2026-08-12 11:00,59,1,FORECAST_STOCKOUT,0,1,1,0,0,0,0,0,0
