carrier_id,hub_code,hub_name,container_size,base_share,calibration_type
CARRIER_A,UIWANG,의왕ICD(오봉역),20FT,0.33050237,PNC_KITL_50_50_BLEND
CARRIER_B,UIWANG,의왕ICD(오봉역),20FT,0.1596902,PNC_KITL_50_50_BLEND
CARRIER_C,UIWANG,의왕ICD(오봉역),20FT,0.13054494,PNC_KITL_50_50_BLEND
CARRIER_D,UIWANG,의왕ICD(오봉역),20FT,0.12042307,PNC_KITL_50_50_BLEND
CARRIER_E,UIWANG,의왕ICD(오봉역),20FT,0.15241488,PNC_KITL_50_50_BLEND
CARRIER_F,UIWANG,의왕ICD(오봉역),20FT,0.10642455,PNC_KITL_50_50_BLEND
CARRIER_A,UIWANG,의왕ICD(오봉역),40FT,0.20684476,PNC_KITL_50_50_BLEND
CARRIER_B,UIWANG,의왕ICD(오봉역),40FT,0.16126987,PNC_KITL_50_50_BLEND
CARRIER_C,UIWANG,의왕ICD(오봉역),40FT,0.12759061,PNC_KITL_50_50_BLEND
CARRIER_D,UIWANG,의왕ICD(오봉역),40FT,0.14712674,PNC_KITL_50_50_BLEND
CARRIER_E,UIWANG,의왕ICD(오봉역),40FT,0.17587465,PNC_KITL_50_50_BLEND
CARRIER_F,UIWANG,의왕ICD(오봉역),40FT,0.18129337,PNC_KITL_50_50_BLEND
CARRIER_A,BUGANG,부강화물역 CY,20FT,0.33050237,PNC_KITL_50_50_BLEND
CARRIER_B,BUGANG,부강화물역 CY,20FT,0.1596902,PNC_KITL_50_50_BLEND
CARRIER_C,BUGANG,부강화물역 CY,20FT,0.13054494,PNC_KITL_50_50_BLEND
CARRIER_D,BUGANG,부강화물역 CY,20FT,0.12042307,PNC_KITL_50_50_BLEND
CARRIER_E,BUGANG,부강화물역 CY,20FT,0.15241488,PNC_KITL_50_50_BLEND
CARRIER_F,BUGANG,부강화물역 CY,20FT,0.10642455,PNC_KITL_50_50_BLEND
CARRIER_A,BUGANG,부강화물역 CY,40FT,0.20684476,PNC_KITL_50_50_BLEND
CARRIER_B,BUGANG,부강화물역 CY,40FT,0.16126987,PNC_KITL_50_50_BLEND
CARRIER_C,BUGANG,부강화물역 CY,40FT,0.12759061,PNC_KITL_50_50_BLEND
CARRIER_D,BUGANG,부강화물역 CY,40FT,0.14712674,PNC_KITL_50_50_BLEND
