proposal_id,carrier_id,state,action,negotiation_round,final_eligible
PROP0001,CARRIER_A,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0002,CARRIER_A,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0003,CARRIER_A,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0004,CARRIER_A,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0005,CARRIER_A,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0006,CARRIER_B,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0007,CARRIER_B,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0008,CARRIER_B,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0009,CARRIER_B,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0010,CARRIER_C,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0011,CARRIER_C,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0012,CARRIER_C,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0013,CARRIER_C,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0014,CARRIER_D,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0015,CARRIER_D,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0016,CARRIER_E,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0017,CARRIER_E,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0018,CARRIER_E,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0019,CARRIER_E,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0020,CARRIER_E,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0021,CARRIER_F,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0022,CARRIER_F,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0023,CARRIER_F,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0024,CARRIER_F,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
