proposal_id,action,applied,reason
PROP0001,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0002,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0003,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0004,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0005,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0006,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0007,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0008,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0009,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0010,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0011,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0012,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0013,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0014,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0015,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0016,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0017,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0018,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0019,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0020,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0021,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0022,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0023,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
PROP0024,ACCEPT_SERVICE,True,conditions_normalized_before_candidate_generation
