need_id,carrier_id,destination,destination_name,container_size,quantity,teu,due_time,due_slot,priority,need_reason,inventory_lb,noncommitted_quantity,noncommitted_teu,status
NEED0001,CARRIER_A,DONGSAN,동산역 CY,20FT,1,1,2026-08-16 07:00,151,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0002,CARRIER_A,GWANGYANG,신광양항,20FT,1,1,2026-08-11 11:00,35,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0003,CARRIER_A,GWANGYANG,신광양항,20FT,1,1,2026-08-11 15:00,39,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0012,CARRIER_A,GWANGYANG,신광양항,20FT,1,1,2026-08-15 12:00,132,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0032,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2026-08-15 10:00,130,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0033,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2026-08-16 10:00,154,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0045,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-15 13:00,133,1,FORECAST_STOCKOUT,0,1,2,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0046,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-15 15:00,135,1,FORECAST_STOCKOUT,0,1,2,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0047,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-16 07:00,151,1,FORECAST_STOCKOUT,0,1,2,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0055,CARRIER_B,BUGANG,부강화물역 CY,20FT,1,1,2026-08-16 11:00,155,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0056,CARRIER_B,BUGANG,부강화물역 CY,20FT,1,1,2026-08-16 19:00,163,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0057,CARRIER_B,BUGANG,부강화물역 CY,40FT,1,2,2026-08-16 13:00,157,1,FORECAST_STOCKOUT,0,1,2,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0058,CARRIER_B,BUGANG,부강화물역 CY,40FT,1,2,2026-08-16 19:00,163,1,FORECAST_STOCKOUT,0,1,2,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
