need_id,carrier_id,destination,destination_name,container_size,quantity,teu,due_time,due_slot,priority,need_reason,inventory_lb,noncommitted_quantity,noncommitted_teu,status
NEED0001,CARRIER_A,DONGSAN,동산역 CY,20FT,1,1,2026-08-16 07:00,151,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0002,CARRIER_A,GWANGYANG,신광양항,20FT,1,1,2026-08-11 11:00,35,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0003,CARRIER_A,GWANGYANG,신광양항,20FT,1,1,2026-08-11 15:00,39,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0004,CARRIER_A,GWANGYANG,신광양항,20FT,1,1,2026-08-12 07:00,55,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0005,CARRIER_A,GWANGYANG,신광양항,20FT,1,1,2026-08-12 11:00,59,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0006,CARRIER_A,GWANGYANG,신광양항,20FT,1,1,2026-08-13 10:00,82,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0007,CARRIER_A,GWANGYANG,신광양항,20FT,1,1,2026-08-13 11:00,83,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0008,CARRIER_A,GWANGYANG,신광양항,20FT,1,1,2026-08-13 16:00,88,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0009,CARRIER_A,GWANGYANG,신광양항,20FT,1,1,2026-08-14 10:00,106,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0010,CARRIER_A,GWANGYANG,신광양항,20FT,1,1,2026-08-14 14:00,110,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0011,CARRIER_A,GWANGYANG,신광양항,20FT,1,1,2026-08-14 18:00,114,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0012,CARRIER_A,GWANGYANG,신광양항,20FT,1,1,2026-08-15 12:00,132,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
NEED0013,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2026-08-10 17:00,17,1,FORECAST_STOCKOUT,0,1,1,NOT_IN_FINAL_PLAN_WITHOUT_CARRIER_COMMITMENT
