need_id,carrier_id,destination,destination_name,container_size,quantity,teu,due_time,due_slot,priority,need_reason,inventory_lb,commitment_quantity,korail_confirmed_quantity,rail_unserved_quantity,rail_unserved_teu,unserved_reason
NEED0019,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2026-08-12 06:00,54,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0020,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2026-08-12 11:00,59,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0021,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2026-08-12 13:00,61,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0022,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2026-08-12 16:00,64,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0023,CARRIER_A,YAKMOK,약목역 CY,20FT,2,2,2026-08-13 09:00,81,1,FORECAST_STOCKOUT,0,2,0,2,2,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0024,CARRIER_A,YAKMOK,약목역 CY,20FT,2,2,2026-08-13 10:00,82,1,FORECAST_STOCKOUT,0,2,0,2,2,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0025,CARRIER_A,YAKMOK,약목역 CY,20FT,2,2,2026-08-13 17:00,89,1,FORECAST_STOCKOUT,0,2,0,2,2,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0026,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2026-08-14 08:00,104,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0027,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2026-08-14 09:00,105,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0028,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2026-08-14 11:00,107,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0029,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2026-08-14 12:00,108,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0030,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2026-08-14 16:00,112,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0031,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2026-08-14 18:00,114,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0064,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-12 06:00,54,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0065,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-12 07:00,55,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0066,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-12 09:00,57,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0067,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-12 11:00,59,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0068,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-12 14:00,62,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0069,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-12 17:00,65,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0070,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-13 07:00,79,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0071,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-13 08:00,80,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0072,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-13 11:00,83,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0073,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-13 12:00,84,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0135,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-12 18:00,66,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0136,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-13 08:00,80,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0137,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-13 11:00,83,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0138,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-13 12:00,84,1,FORECAST_STOCKOUT,0,1,0,1,1,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
NEED0139,CARRIER_F,GWANGYANG,신광양항,20FT,2,2,2026-08-13 15:00,87,1,FORECAST_STOCKOUT,0,2,0,2,2,ACCEPTED_BUT_NOT_KORAIL_CONFIRMED
