proposal_id,carrier_id,state,action,negotiation_round,final_eligible
PROP0001,CARRIER_A,PENDING,NONE,2,False
PROP0002,CARRIER_A,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0003,CARRIER_A,PENDING,NONE,2,False
PROP0004,CARRIER_A,PENDING,NONE,2,False
PROP0005,CARRIER_A,PENDING,NONE,2,False
PROP0006,CARRIER_B,PENDING,NONE,2,False
PROP0007,CARRIER_B,ACCEPTED_EXACT_PLAN,ACCEPT_EXACT_PLAN,2,True
PROP0008,CARRIER_B,PENDING,NONE,2,False
PROP0009,CARRIER_B,PENDING,NONE,2,False
PROP0010,CARRIER_C,MODIFIED_PENDING,MODIFY_SERVICE,2,False
PROP0011,CARRIER_C,PENDING,NONE,2,False
PROP0012,CARRIER_C,PENDING,NONE,2,False
PROP0013,CARRIER_C,PENDING,NONE,2,False
PROP0014,CARRIER_D,ALTERNATIVE_REQUESTED,REJECT_OPTION,2,False
PROP0015,CARRIER_D,PENDING,NONE,2,False
PROP0016,CARRIER_E,PENDING,NONE,2,False
PROP0017,CARRIER_E,PENDING,NONE,2,False
PROP0018,CARRIER_E,PENDING,NONE,2,False
PROP0019,CARRIER_E,DECLINED,DECLINE_RAIL_SERVICE,2,False
PROP0020,CARRIER_E,PENDING,NONE,2,False
PROP0021,CARRIER_F,ACCEPTED_SERVICE,ACCEPT_SERVICE,2,True
PROP0022,CARRIER_F,PENDING,NONE,2,False
PROP0023,CARRIER_F,PENDING,NONE,2,False
PROP0024,CARRIER_F,PENDING,NONE,2,False
