proposal_id,proposal_uuid,negotiation_round,proposal_version,parent_proposal_id,status,carrier_id,origin,origin_name,destination,destination_name,container_size,quantity,teu,earliest_need_due,latest_need_due,train_id,train_origin,train_destination,train_path,departure_time,arrival_time,max_earliness_hours,min_earliness_hours,estimated_rail_charge_krw,need_allocation
PROP0001,ecb31059-02b6-5e09-88d8-157d2cbf6874,2,2,PROP0001,UPDATED_PROPOSAL,CARRIER_A,BUGANG,부강화물역 CY,GWANGYANG,신광양항,20FT,8,8,2026-08-12 07:00,2026-08-14 18:00,CAND0344,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 14:00,2026-08-12 03:00,63,4,851655.92,NEED0004:1|NEED0005:1|NEED0006:1|NEED0007:1|NEED0008:1|NEED0009:1|NEED0010:1|NEED0011:1
PROP0002,89c1c490-1737-5251-9fa5-3bfaf585ca9a,2,2,PROP0002,UPDATED_PROPOSAL,CARRIER_A,BUSAN,부산신항,YAKMOK,약목역 CY,20FT,16,16,2026-08-12 06:00,2026-08-14 18:00,CAND0164,BUSAN,YAKMOK,BUSAN > YAKMOK,2026-08-11 21:00,2026-08-12 06:00,60,0,877926.56,NEED0019:1|NEED0020:1|NEED0021:1|NEED0022:1|NEED0023:2|NEED0024:2|NEED0025:2|NEED0026:1|NEED0027:1|NEED0028:1|NEED0029:1|NEED0030:1|NEED0031:1
PROP0003,55618ba8-441d-5cda-b867-22d7795d7de7,2,2,PROP0003,UPDATED_PROPOSAL,CARRIER_A,BUSAN,부산신항,YAKMOK,약목역 CY,40FT,9,18,2026-08-12 09:00,2026-08-14 19:00,CAND0164,BUSAN,YAKMOK,BUSAN > YAKMOK,2026-08-11 21:00,2026-08-12 06:00,61,3,765633.6,NEED0037:1|NEED0038:1|NEED0039:1|NEED0040:2|NEED0041:1|NEED0042:1|NEED0043:1|NEED0044:1
PROP0004,0e0a06c2-9074-5ff5-b10d-539f3fd3ec99,2,2,PROP0004,UPDATED_PROPOSAL,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,7,7,2026-08-10 17:00,2026-08-11 11:00,CAND0054,UIWANG,BUSAN,UIWANG > BUGANG > YAKMOK > BUSAN,2026-08-10 03:00,2026-08-10 16:00,19,1,691206.75,NEED0013:1|NEED0014:1|NEED0015:1|NEED0016:1|NEED0017:1|NEED0018:2
PROP0005,dcec2820-bb0b-5728-9c38-5e492586aafa,2,2,PROP0005,UPDATED_PROPOSAL,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,40FT,3,6,2026-08-10 17:00,2026-08-11 18:00,CAND0054,UIWANG,BUSAN,UIWANG > BUGANG > YAKMOK > BUSAN,2026-08-10 03:00,2026-08-10 16:00,26,1,459273.6,NEED0034:1|NEED0035:1|NEED0036:1
PROP0006,7639b9df-6bfe-5bd2-b2b1-924ee5b10dbb,2,2,PROP0006,UPDATED_PROPOSAL,CARRIER_B,UIWANG,의왕ICD(오봉역),BUGANG,부강화물역 CY,20FT,8,8,2026-08-13 10:00,2026-08-14 17:00,CAND0344,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 09:00,2026-08-11 17:00,72,41,341517.68,NEED0048:1|NEED0049:2|NEED0050:1|NEED0051:1|NEED0052:1|NEED0053:1|NEED0054:1
PROP0007,5d2072bc-e611-5e82-94ca-f27182757c14,2,2,PROP0007|PROP0009,UPDATED_PROPOSAL,CARRIER_B,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,20FT,14,14,2026-08-11 14:00,2026-08-13 12:00,CAND0054,UIWANG,BUSAN,UIWANG > BUGANG > YAKMOK > BUSAN,2026-08-10 03:00,2026-08-10 21:00,63,17,2150599.22,NEED0060:1|NEED0061:1|NEED0062:1|NEED0063:1|NEED0064:1|NEED0065:1|NEED0066:1|NEED0067:1|NEED0068:1|NEED0069:1|NEED0070:1|NEED0071:1|NEED0072:1|NEED0073:1
PROP0008,46090094-5f03-5dd3-b212-9d83b75d0b19,2,2,PROP0008,UPDATED_PROPOSAL,CARRIER_B,UIWANG,의왕ICD(오봉역),GWANGYANG,신광양항,20FT,5,5,2026-08-12 10:00,2026-08-14 10:00,CAND0344,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 09:00,2026-08-12 03:00,55,7,734660.15,NEED0077:1|NEED0078:1|NEED0079:1|NEED0080:1|NEED0081:1
PROP0009,08230be2-d217-55c2-af04-62aa587b7a77,2,2,PROP0009,UPDATED_PROPOSAL,CARRIER_B,YAKMOK,약목역 CY,BUSAN,부산신항,20FT,2,2,2026-08-11 13:00,2026-08-11 14:00,CAND0054,UIWANG,BUSAN,UIWANG > BUGANG > YAKMOK > BUSAN,2026-08-10 13:00,2026-08-10 21:00,17,16,109740.82,NEED0059:1|NEED0060:1
PROP0010,2e95dd8b-5bbc-5a10-9a59-ca56a79b4f1d,2,2,PROP0010|PROP0012,UPDATED_PROPOSAL,CARRIER_C,BUGANG,부강화물역 CY,DONGSAN,동산역 CY,20FT,3,3,2026-08-12 18:00,2026-08-14 06:00,CAND0344,UIWANG,GWANGYANG,UIWANG > BUGANG > DONGSAN > GWANGYANG,2026-08-11 14:00,2026-08-11 22:00,56,20,149146.71,NEED0084:1|NEED0085:1|NEED0087:1
