detail_id,need_id,carrier_id,origin,destination,container_size,quantity,teu,original_need_due_time,effective_need_due_time,earliest_allowed_arrival,train_id,departure_time,arrival_time,earliness_hours,estimated_rail_charge_krw
DETAIL0001,NEED0013,CARRIER_A,UIWANG,YAKMOK,20FT,1,1,2026-08-10 17:00,2026-08-10 17:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 16:00,1,98743.82
DETAIL0002,NEED0014,CARRIER_A,UIWANG,YAKMOK,20FT,1,1,2026-08-10 18:00,2026-08-10 18:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 16:00,2,98743.82
DETAIL0003,NEED0015,CARRIER_A,UIWANG,YAKMOK,20FT,1,1,2026-08-11 07:00,2026-08-11 07:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 16:00,15,98743.82
DETAIL0004,NEED0016,CARRIER_A,UIWANG,YAKMOK,20FT,1,1,2026-08-11 09:00,2026-08-11 09:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 16:00,17,98743.82
DETAIL0005,NEED0017,CARRIER_A,UIWANG,YAKMOK,20FT,1,1,2026-08-11 10:00,2026-08-11 10:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 16:00,18,98743.82
DETAIL0006,NEED0018,CARRIER_A,UIWANG,YAKMOK,20FT,2,2,2026-08-11 11:00,2026-08-11 11:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 16:00,19,197487.65
DETAIL0007,NEED0034,CARRIER_A,UIWANG,YAKMOK,40FT,1,2,2026-08-10 17:00,2026-08-10 17:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 16:00,1,153091.2
DETAIL0008,NEED0035,CARRIER_A,UIWANG,YAKMOK,40FT,1,2,2026-08-11 16:00,2026-08-11 16:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 16:00,24,153091.2
DETAIL0009,NEED0036,CARRIER_A,UIWANG,YAKMOK,40FT,1,2,2026-08-11 18:00,2026-08-11 18:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 16:00,26,153091.2
DETAIL0010,NEED0019,CARRIER_A,BUSAN,YAKMOK,20FT,1,1,2026-08-12 06:00,2026-08-12 06:00,2026-08-10 00:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,0,54870.41
DETAIL0011,NEED0020,CARRIER_A,BUSAN,YAKMOK,20FT,1,1,2026-08-12 11:00,2026-08-12 11:00,2026-08-10 00:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,5,54870.41
DETAIL0012,NEED0021,CARRIER_A,BUSAN,YAKMOK,20FT,1,1,2026-08-12 13:00,2026-08-12 13:00,2026-08-10 00:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,7,54870.41
DETAIL0013,NEED0022,CARRIER_A,BUSAN,YAKMOK,20FT,1,1,2026-08-12 16:00,2026-08-12 16:00,2026-08-10 00:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,10,54870.41
DETAIL0014,NEED0023,CARRIER_A,BUSAN,YAKMOK,20FT,2,2,2026-08-13 09:00,2026-08-13 09:00,2026-08-10 09:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,27,109740.82
DETAIL0015,NEED0024,CARRIER_A,BUSAN,YAKMOK,20FT,2,2,2026-08-13 10:00,2026-08-13 10:00,2026-08-10 10:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,28,109740.82
DETAIL0016,NEED0025,CARRIER_A,BUSAN,YAKMOK,20FT,2,2,2026-08-13 17:00,2026-08-13 17:00,2026-08-10 17:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,35,109740.82
DETAIL0017,NEED0026,CARRIER_A,BUSAN,YAKMOK,20FT,1,1,2026-08-14 08:00,2026-08-14 08:00,2026-08-11 08:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,50,54870.41
DETAIL0018,NEED0027,CARRIER_A,BUSAN,YAKMOK,20FT,1,1,2026-08-14 09:00,2026-08-14 09:00,2026-08-11 09:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,51,54870.41
DETAIL0019,NEED0028,CARRIER_A,BUSAN,YAKMOK,20FT,1,1,2026-08-14 11:00,2026-08-14 11:00,2026-08-11 11:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,53,54870.41
DETAIL0020,NEED0029,CARRIER_A,BUSAN,YAKMOK,20FT,1,1,2026-08-14 12:00,2026-08-14 12:00,2026-08-11 12:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,54,54870.41
DETAIL0021,NEED0030,CARRIER_A,BUSAN,YAKMOK,20FT,1,1,2026-08-14 16:00,2026-08-14 16:00,2026-08-11 16:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,58,54870.41
DETAIL0022,NEED0031,CARRIER_A,BUSAN,YAKMOK,20FT,1,1,2026-08-14 18:00,2026-08-14 18:00,2026-08-11 18:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,60,54870.41
DETAIL0023,NEED0037,CARRIER_A,BUSAN,YAKMOK,40FT,1,2,2026-08-12 09:00,2026-08-12 09:00,2026-08-10 00:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,3,85070.4
DETAIL0024,NEED0038,CARRIER_A,BUSAN,YAKMOK,40FT,1,2,2026-08-12 12:00,2026-08-12 12:00,2026-08-10 00:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,6,85070.4
DETAIL0025,NEED0039,CARRIER_A,BUSAN,YAKMOK,40FT,1,2,2026-08-12 15:00,2026-08-12 15:00,2026-08-10 00:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,9,85070.4
DETAIL0026,NEED0040,CARRIER_A,BUSAN,YAKMOK,40FT,2,4,2026-08-12 16:00,2026-08-12 16:00,2026-08-10 00:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,10,170140.8
DETAIL0027,NEED0041,CARRIER_A,BUSAN,YAKMOK,40FT,1,2,2026-08-13 15:00,2026-08-13 15:00,2026-08-10 15:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,33,85070.4
DETAIL0028,NEED0042,CARRIER_A,BUSAN,YAKMOK,40FT,1,2,2026-08-14 10:00,2026-08-14 10:00,2026-08-11 10:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,52,85070.4
DETAIL0029,NEED0043,CARRIER_A,BUSAN,YAKMOK,40FT,1,2,2026-08-14 18:00,2026-08-14 18:00,2026-08-11 18:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,60,85070.4
DETAIL0030,NEED0044,CARRIER_A,BUSAN,YAKMOK,40FT,1,2,2026-08-14 19:00,2026-08-14 19:00,2026-08-11 19:00,CAND0164,2026-08-11 21:00,2026-08-12 06:00,61,85070.4
DETAIL0031,NEED0004,CARRIER_A,BUGANG,GWANGYANG,20FT,1,1,2026-08-12 07:00,2026-08-12 07:00,2026-08-10 00:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,4,106456.99
DETAIL0032,NEED0005,CARRIER_A,BUGANG,GWANGYANG,20FT,1,1,2026-08-12 11:00,2026-08-12 11:00,2026-08-10 00:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,8,106456.99
DETAIL0033,NEED0006,CARRIER_A,BUGANG,GWANGYANG,20FT,1,1,2026-08-13 10:00,2026-08-13 10:00,2026-08-10 10:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,31,106456.99
DETAIL0034,NEED0007,CARRIER_A,BUGANG,GWANGYANG,20FT,1,1,2026-08-13 11:00,2026-08-13 11:00,2026-08-10 11:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,32,106456.99
DETAIL0035,NEED0008,CARRIER_A,BUGANG,GWANGYANG,20FT,1,1,2026-08-13 16:00,2026-08-13 16:00,2026-08-10 16:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,37,106456.99
DETAIL0036,NEED0009,CARRIER_A,BUGANG,GWANGYANG,20FT,1,1,2026-08-14 10:00,2026-08-14 10:00,2026-08-11 10:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,55,106456.99
DETAIL0037,NEED0010,CARRIER_A,BUGANG,GWANGYANG,20FT,1,1,2026-08-14 14:00,2026-08-14 14:00,2026-08-11 14:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,59,106456.99
DETAIL0038,NEED0011,CARRIER_A,BUGANG,GWANGYANG,20FT,1,1,2026-08-14 18:00,2026-08-14 18:00,2026-08-11 18:00,CAND0344,2026-08-11 14:00,2026-08-12 03:00,63,106456.99
DETAIL0039,NEED0059,CARRIER_B,YAKMOK,BUSAN,20FT,1,1,2026-08-11 13:00,2026-08-11 13:00,2026-08-10 00:00,CAND0054,2026-08-10 13:00,2026-08-10 21:00,16,54870.41
DETAIL0040,NEED0060,CARRIER_B,UIWANG,BUSAN,20FT,1,1,2026-08-11 14:00,2026-08-11 14:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,17,153614.23
DETAIL0041,NEED0060,CARRIER_B,YAKMOK,BUSAN,20FT,1,1,2026-08-11 14:00,2026-08-11 14:00,2026-08-10 00:00,CAND0054,2026-08-10 13:00,2026-08-10 21:00,17,54870.41
DETAIL0042,NEED0061,CARRIER_B,UIWANG,BUSAN,20FT,1,1,2026-08-11 15:00,2026-08-11 15:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,18,153614.23
DETAIL0043,NEED0062,CARRIER_B,UIWANG,BUSAN,20FT,1,1,2026-08-11 16:00,2026-08-11 16:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,19,153614.23
DETAIL0044,NEED0063,CARRIER_B,UIWANG,BUSAN,20FT,1,1,2026-08-11 18:00,2026-08-11 18:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,21,153614.23
DETAIL0045,NEED0064,CARRIER_B,UIWANG,BUSAN,20FT,1,1,2026-08-12 06:00,2026-08-12 06:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,33,153614.23
DETAIL0046,NEED0065,CARRIER_B,UIWANG,BUSAN,20FT,1,1,2026-08-12 07:00,2026-08-12 07:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,34,153614.23
DETAIL0047,NEED0066,CARRIER_B,UIWANG,BUSAN,20FT,1,1,2026-08-12 09:00,2026-08-12 09:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,36,153614.23
DETAIL0048,NEED0067,CARRIER_B,UIWANG,BUSAN,20FT,1,1,2026-08-12 11:00,2026-08-12 11:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,38,153614.23
DETAIL0049,NEED0068,CARRIER_B,UIWANG,BUSAN,20FT,1,1,2026-08-12 14:00,2026-08-12 14:00,2026-08-10 00:00,CAND0054,2026-08-10 03:00,2026-08-10 21:00,41,153614.23
