train_id,stop_sequence,hub_code,hub_name,arrival_time,departure_time,load_teu,unload_teu
CAND0054,1,UIWANG,의왕ICD(오봉역),2026-08-10 06:00,2026-08-10 06:00,37,0
CAND0054,2,BUGANG,부강화물역 CY,2026-08-10 08:00,2026-08-10 11:00,0,0
CAND0054,3,YAKMOK,약목역 CY,2026-08-10 13:00,2026-08-10 16:00,4,15
CAND0054,4,BUSAN,부산신항,2026-08-10 18:00,2026-08-10 18:00,0,26
CAND0164,1,BUSAN,부산신항,2026-08-12 00:00,2026-08-12 00:00,34,0
CAND0164,2,YAKMOK,약목역 CY,2026-08-12 03:00,2026-08-12 03:00,0,34
CAND0344,1,UIWANG,의왕ICD(오봉역),2026-08-11 12:00,2026-08-11 12:00,27,0
CAND0344,2,BUGANG,부강화물역 CY,2026-08-11 14:00,2026-08-11 17:00,28,8
CAND0344,3,DONGSAN,동산역 CY,2026-08-11 19:00,2026-08-11 22:00,2,7
CAND0344,4,GWANGYANG,신광양항,2026-08-12 00:00,2026-08-12 00:00,0,42
