recommendation_id,carrier_id,container_size,quantity_boxes,quantity_teu,origin_hub,origin_name,destination_hub,destination_name,train_id,departure_time,arrival_time,available_time,need_count,service_due_time_earliest,service_due_time_latest,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw,participating_carrier_count,train_load_factor,max_earliness_hours,need_ids
REC0006,CARRIER_B,20FT,1,1,UIWANG,의왕ICD(오봉역),BUGANG,부강화물역 CY,CAND0170,2025-07-04 18:00,2025-07-04 20:00,2025-07-04 23:00,1,2025-07-06 15:00,2025-07-06 15:00,111.8,111.8,42689.71,5,0.5008,40,NEED0027
REC0007,CARRIER_B,20FT,3,3,UIWANG,의왕ICD(오봉역),BUGANG,부강화물역 CY,CAND0707,2025-07-03 18:00,2025-07-03 20:00,2025-07-03 23:00,3,2025-07-05 17:00,2025-07-06 15:00,111.8,111.8,128069.13,6,0.5009,64,NEED0025|NEED0026|NEED0027
REC0008,CARRIER_B,40FT,1,2,UIWANG,의왕ICD(오봉역),BUGANG,부강화물역 CY,CAND0170,2025-07-04 18:00,2025-07-04 20:00,2025-07-04 23:00,1,2025-07-07 16:00,2025-07-07 16:00,111.8,111.8,66185.6,5,0.5008,65,NEED0033
REC0009,CARRIER_B,40FT,5,10,UIWANG,의왕ICD(오봉역),BUGANG,부강화물역 CY,CAND0707,2025-07-03 18:00,2025-07-03 20:00,2025-07-03 23:00,5,2025-07-06 06:00,2025-07-06 17:00,111.8,111.8,330928.0,6,0.5009,66,NEED0028|NEED0029|NEED0030|NEED0031|NEED0032
REC0010,CARRIER_B,20FT,14,14,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,CAND0158,2025-07-01 18:00,2025-07-02 06:00,2025-07-02 09:00,8,2025-07-04 07:00,2025-07-05 07:00,408.1,402.3,2150599.23,6,0.5233,70,NEED0043|NEED0044|NEED0045|NEED0046|NEED0047|NEED0048|NEED0049|NEED0050
REC0011,CARRIER_B,20FT,13,13,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,CAND0170,2025-07-04 18:00,2025-07-05 06:00,2025-07-05 09:00,9,2025-07-05 11:00,2025-07-07 10:00,408.1,402.3,1996984.99,5,0.5008,49,NEED0051|NEED0052|NEED0053|NEED0054|NEED0055|NEED0056|NEED0057|NEED0058|NEED0059
REC0012,CARRIER_B,40FT,1,2,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,CAND0170,2025-07-04 18:00,2025-07-05 06:00,2025-07-05 09:00,1,2025-07-05 10:00,2025-07-05 10:00,408.1,402.3,238161.6,5,0.5008,1,NEED0065
REC0013,CARRIER_B,20FT,14,14,YAKMOK,약목역 CY,BUSAN,부산신항,CAND0158,2025-07-02 04:00,2025-07-02 06:00,2025-07-02 09:00,9,2025-07-03 08:00,2025-07-04 06:00,143.7,143.7,768185.72,6,0.5233,45,NEED0034|NEED0035|NEED0036|NEED0037|NEED0038|NEED0039|NEED0040|NEED0041|NEED0042
REC0014,CARRIER_B,20FT,1,1,YAKMOK,약목역 CY,BUSAN,부산신항,CAND0170,2025-07-05 04:00,2025-07-05 06:00,2025-07-05 09:00,1,2025-07-07 10:00,2025-07-07 10:00,143.7,143.7,54870.41,5,0.5008,49,NEED0059
REC0015,CARRIER_B,40FT,4,8,YAKMOK,약목역 CY,BUSAN,부산신항,CAND0158,2025-07-02 04:00,2025-07-02 06:00,2025-07-02 09:00,3,2025-07-02 10:00,2025-07-03 06:00,143.7,143.7,340281.6,6,0.5233,21,NEED0062|NEED0063|NEED0064
