need_id,carrier_id,destination,destination_name,container_size,quantity,teu,due_time,due_slot,priority,need_reason,inventory_lb,rail_unserved_boxes,rail_unserved_teu,reason,reason_is_proven_cause
NEED0009,CARRIER_A,GWANGYANG,신광양항,40FT,1,2,2025-07-02 13:00,37,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0010,CARRIER_A,GWANGYANG,신광양항,40FT,1,2,2025-07-02 17:00,41,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0011,CARRIER_A,GWANGYANG,신광양항,40FT,1,2,2025-07-03 09:00,57,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0023,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2025-07-07 12:00,156,1,FORECAST_STOCKOUT,0,1,1,UNSERVED_AFTER_JOINT_OPTIMIZATION,False
NEED0024,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2025-07-07 16:00,160,1,FORECAST_STOCKOUT,0,1,1,UNSERVED_AFTER_JOINT_OPTIMIZATION,False
NEED0060,CARRIER_B,BUSAN,부산신항,40FT,1,2,2025-07-01 15:00,15,1,FORECAST_STOCKOUT,0,1,2,UNSERVED_AFTER_JOINT_OPTIMIZATION,False
NEED0061,CARRIER_B,BUSAN,부산신항,40FT,1,2,2025-07-01 19:00,19,1,FORECAST_STOCKOUT,0,1,2,UNSERVED_AFTER_JOINT_OPTIMIZATION,False
NEED0066,CARRIER_C,BUSAN,부산신항,20FT,1,1,2025-07-01 09:00,9,1,FORECAST_STOCKOUT,0,1,1,NO_SOURCE_RELEASE_CAPACITY,False
NEED0076,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2025-07-01 14:00,14,1,FORECAST_STOCKOUT,0,1,1,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0077,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2025-07-02 16:00,40,1,FORECAST_STOCKOUT,0,1,1,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0078,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2025-07-02 19:00,43,1,FORECAST_STOCKOUT,0,1,1,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0083,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2025-07-07 08:00,152,1,FORECAST_STOCKOUT,0,1,1,UNSERVED_AFTER_JOINT_OPTIMIZATION,False
NEED0084,CARRIER_D,DONGSAN,동산역 CY,20FT,1,1,2025-07-02 10:00,34,1,FORECAST_STOCKOUT,0,1,1,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0085,CARRIER_D,GWANGYANG,신광양항,40FT,1,2,2025-07-02 07:00,31,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0086,CARRIER_D,GWANGYANG,신광양항,40FT,1,2,2025-07-02 15:00,39,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0087,CARRIER_D,GWANGYANG,신광양항,40FT,1,2,2025-07-02 16:00,40,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0088,CARRIER_D,GWANGYANG,신광양항,40FT,1,2,2025-07-03 06:00,54,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0094,CARRIER_D,GWANGYANG,신광양항,40FT,1,2,2025-07-07 15:00,159,1,FORECAST_STOCKOUT,0,1,2,UNSERVED_AFTER_JOINT_OPTIMIZATION,False
NEED0100,CARRIER_E,DONGSAN,동산역 CY,40FT,1,2,2025-07-02 10:00,34,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0102,CARRIER_E,GWANGYANG,신광양항,20FT,1,1,2025-07-03 15:00,63,1,FORECAST_STOCKOUT,0,1,1,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0108,CARRIER_F,BUGANG,부강화물역 CY,40FT,1,2,2025-07-05 17:00,113,1,FORECAST_STOCKOUT,0,1,2,UNSERVED_AFTER_JOINT_OPTIMIZATION,False
NEED0109,CARRIER_F,BUSAN,부산신항,20FT,1,1,2025-07-01 17:00,17,1,FORECAST_STOCKOUT,0,1,1,UNSERVED_AFTER_JOINT_OPTIMIZATION,False
NEED0122,CARRIER_F,DONGSAN,동산역 CY,40FT,1,2,2025-07-01 09:00,9,1,FORECAST_STOCKOUT,0,1,2,NO_SOURCE_RELEASE_CAPACITY,False
NEED0123,CARRIER_F,DONGSAN,동산역 CY,40FT,1,2,2025-07-01 13:00,13,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0124,CARRIER_F,DONGSAN,동산역 CY,40FT,1,2,2025-07-01 18:00,18,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0125,CARRIER_F,GWANGYANG,신광양항,40FT,1,2,2025-07-02 18:00,42,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0127,CARRIER_F,UIWANG,의왕ICD(오봉역),40FT,1,2,2025-07-07 08:00,152,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
NEED0128,CARRIER_F,UIWANG,의왕ICD(오봉역),40FT,1,2,2025-07-07 10:00,154,1,FORECAST_STOCKOUT,0,1,2,NO_CANDIDATE_AFTER_CONSOLIDATION_PRUNING,False
