recommendation_id,carrier_id,destination_hub,container_size,linked_service_need_teu,linked_need_count,linked_need_due_min,linked_need_due_max,origin_hub,source_release_capacity_cumulative_boxes,assigned_outbound_cumulative_boxes_through_load,source_release_remaining_after_assignment_boxes,recommended_boxes,recommended_teu,train_id,train_load_factor,participating_carrier_count,service_due_time_earliest,service_due_time_latest,arrival_time,available_time,earliness_hours,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw
REC0006,CARRIER_B,BUGANG,20FT,2,1,2025-07-06 15:00,2025-07-06 15:00,UIWANG,76,31,45,1,1,CAND0170,0.5008,5,2025-07-06 15:00,2025-07-06 15:00,2025-07-04 20:00,2025-07-04 23:00,40,111.8,111.8,42689.71
REC0007,CARRIER_B,BUGANG,20FT,4,3,2025-07-05 17:00,2025-07-06 15:00,UIWANG,60,17,43,3,3,CAND0707,0.5009,6,2025-07-05 17:00,2025-07-06 15:00,2025-07-03 20:00,2025-07-03 23:00,64,111.8,111.8,128069.13
REC0008,CARRIER_B,BUGANG,40FT,2,1,2025-07-07 16:00,2025-07-07 16:00,UIWANG,23,7,16,1,2,CAND0170,0.5008,5,2025-07-07 16:00,2025-07-07 16:00,2025-07-04 20:00,2025-07-04 23:00,65,111.8,111.8,66185.6
REC0009,CARRIER_B,BUGANG,40FT,10,5,2025-07-06 06:00,2025-07-06 17:00,UIWANG,16,5,11,5,10,CAND0707,0.5009,6,2025-07-06 06:00,2025-07-06 17:00,2025-07-03 20:00,2025-07-03 23:00,66,111.8,111.8,330928.0
REC0010,CARRIER_B,BUSAN,20FT,14,8,2025-07-04 07:00,2025-07-05 07:00,UIWANG,34,14,20,14,14,CAND0158,0.5233,6,2025-07-04 07:00,2025-07-05 07:00,2025-07-02 06:00,2025-07-02 09:00,70,408.1,402.3,2150599.23
REC0011,CARRIER_B,BUSAN,20FT,14,9,2025-07-05 11:00,2025-07-07 10:00,UIWANG,76,31,45,13,13,CAND0170,0.5008,5,2025-07-05 11:00,2025-07-07 10:00,2025-07-05 06:00,2025-07-05 09:00,49,408.1,402.3,1996984.99
REC0012,CARRIER_B,BUSAN,40FT,2,1,2025-07-05 10:00,2025-07-05 10:00,UIWANG,23,7,16,1,2,CAND0170,0.5008,5,2025-07-05 10:00,2025-07-05 10:00,2025-07-05 06:00,2025-07-05 09:00,1,408.1,402.3,238161.6
REC0013,CARRIER_B,BUSAN,20FT,14,9,2025-07-03 08:00,2025-07-04 06:00,YAKMOK,14,14,0,14,14,CAND0158,0.5233,6,2025-07-03 08:00,2025-07-04 06:00,2025-07-02 06:00,2025-07-02 09:00,45,143.7,143.7,768185.72
REC0014,CARRIER_B,BUSAN,20FT,2,1,2025-07-07 10:00,2025-07-07 10:00,YAKMOK,28,15,13,1,1,CAND0170,0.5008,5,2025-07-07 10:00,2025-07-07 10:00,2025-07-05 06:00,2025-07-05 09:00,49,143.7,143.7,54870.41
REC0015,CARRIER_B,BUSAN,40FT,8,3,2025-07-02 10:00,2025-07-03 06:00,YAKMOK,4,4,0,4,8,CAND0158,0.5233,6,2025-07-02 10:00,2025-07-03 06:00,2025-07-02 06:00,2025-07-02 09:00,21,143.7,143.7,340281.6
