train_id,stop_sequence,hub,hub_name,stop_type,load_start,arrival,departure,available,actual_load_start_time,actual_arrival_time,actual_departure_time,actual_available_time,model_load_start_slot,model_arrival_slot,model_departure_slot,model_available_slot,load_teu,unload_teu
CAND0158,1,UIWANG,의왕ICD(오봉역),WORK_STOP,2025-07-01 15:00,2025-07-01 18:00,2025-07-01 18:00,2025-07-01 21:00,2025-07-01 15:00,2025-07-01 18:00,2025-07-01 18:00,2025-07-01 21:00,15,18,18,21,17,0
CAND0158,2,BUGANG,부강화물역 CY,WORK_STOP,2025-07-01 20:00,2025-07-01 20:00,2025-07-01 23:00,2025-07-01 23:00,2025-07-01 20:00,2025-07-01 20:00,2025-07-01 23:00,2025-07-01 23:00,20,20,23,23,13,0
CAND0158,3,YAKMOK,약목역 CY,WORK_STOP,2025-07-02 01:00,2025-07-02 01:00,2025-07-02 04:00,2025-07-02 04:00,2025-07-02 01:00,2025-07-02 01:00,2025-07-02 04:00,2025-07-02 04:00,25,25,28,28,27,4
CAND0158,4,BUSAN,부산신항,WORK_STOP,2025-07-02 06:00,2025-07-02 06:00,2025-07-02 06:00,2025-07-02 09:00,2025-07-02 06:00,2025-07-02 06:00,2025-07-02 06:00,2025-07-02 09:00,30,30,30,33,0,53
CAND0170,1,UIWANG,의왕ICD(오봉역),WORK_STOP,2025-07-04 15:00,2025-07-04 18:00,2025-07-04 18:00,2025-07-04 21:00,2025-07-04 15:00,2025-07-04 18:00,2025-07-04 18:00,2025-07-04 21:00,87,90,90,93,34,0
CAND0170,2,BUGANG,부강화물역 CY,WORK_STOP,2025-07-04 20:00,2025-07-04 20:00,2025-07-04 23:00,2025-07-04 23:00,2025-07-04 20:00,2025-07-04 20:00,2025-07-04 23:00,2025-07-04 23:00,92,92,95,95,8,3
CAND0170,3,YAKMOK,약목역 CY,WORK_STOP,2025-07-05 01:00,2025-07-05 01:00,2025-07-05 04:00,2025-07-05 04:00,2025-07-05 01:00,2025-07-05 01:00,2025-07-05 04:00,2025-07-05 04:00,97,97,100,100,2,15
CAND0170,4,BUSAN,부산신항,WORK_STOP,2025-07-05 06:00,2025-07-05 06:00,2025-07-05 06:00,2025-07-05 09:00,2025-07-05 06:00,2025-07-05 06:00,2025-07-05 06:00,2025-07-05 09:00,102,102,102,105,0,26
CAND0707,1,UIWANG,의왕ICD(오봉역),WORK_STOP,2025-07-03 15:00,2025-07-03 18:00,2025-07-03 18:00,2025-07-03 21:00,2025-07-03 15:00,2025-07-03 18:00,2025-07-03 18:00,2025-07-03 21:00,63,66,66,69,45,0
CAND0707,2,BUGANG,부강화물역 CY,WORK_STOP,2025-07-03 20:00,2025-07-03 20:00,2025-07-03 23:00,2025-07-03 23:00,2025-07-03 20:00,2025-07-03 20:00,2025-07-03 23:00,2025-07-03 23:00,68,68,71,71,0,13
CAND0707,3,DONGSAN,동산역 CY,WORK_STOP,2025-07-04 01:00,2025-07-04 01:00,2025-07-04 04:00,2025-07-04 04:00,2025-07-04 01:00,2025-07-04 01:00,2025-07-04 04:00,2025-07-04 04:00,73,73,76,76,2,9
CAND0707,4,GWANGYANG,신광양항,WORK_STOP,2025-07-04 06:00,2025-07-04 06:00,2025-07-04 06:00,2025-07-04 09:00,2025-07-04 06:00,2025-07-04 06:00,2025-07-04 06:00,2025-07-04 09:00,78,78,78,81,0,25
