train_id,carrier_id,origin,destination,container_size,boxes,teu
CAND0158,CARRIER_A,BUGANG,YAKMOK,20FT,4,4
CAND0158,CARRIER_A,UIWANG,YAKMOK,40FT,1,2
CAND0158,CARRIER_B,UIWANG,BUGANG,40FT,2,4
CAND0158,CARRIER_B,UIWANG,BUSAN,20FT,20,20
CAND0158,CARRIER_C,BUGANG,BUSAN,20FT,3,3
CAND0158,CARRIER_C,UIWANG,BUSAN,20FT,2,2
CAND0158,CARRIER_C,UIWANG,YAKMOK,40FT,4,8
CAND0158,CARRIER_E,BUGANG,BUSAN,20FT,1,1
CAND0158,CARRIER_E,UIWANG,BUSAN,20FT,6,6
CAND0158,CARRIER_E,UIWANG,YAKMOK,20FT,1,1
CAND0158,CARRIER_F,BUGANG,BUSAN,20FT,1,1
CAND0158,CARRIER_F,BUGANG,YAKMOK,40FT,1,2
CAND0170,CARRIER_A,BUGANG,YAKMOK,20FT,1,1
CAND0170,CARRIER_A,UIWANG,YAKMOK,20FT,15,15
CAND0170,CARRIER_A,UIWANG,YAKMOK,40FT,8,16
CAND0170,CARRIER_B,UIWANG,BUGANG,20FT,3,3
CAND0170,CARRIER_B,UIWANG,BUSAN,20FT,4,4
CAND0170,CARRIER_D,BUGANG,YAKMOK,20FT,1,1
CAND0170,CARRIER_E,BUGANG,YAKMOK,20FT,2,2
CAND0170,CARRIER_E,UIWANG,YAKMOK,20FT,5,5
CAND0170,CARRIER_F,BUGANG,BUSAN,20FT,3,3
CAND0170,CARRIER_F,BUGANG,YAKMOK,20FT,2,2
CAND0170,CARRIER_F,UIWANG,YAKMOK,20FT,1,1
