detail_id,need_id,carrier_id,origin_hub,origin_name,destination_hub,destination_name,container_size,quantity_boxes,quantity_teu,train_id,load_start_time,departure_time,arrival_time,available_time,model_load_start_slot,model_departure_slot,model_arrival_slot,model_available_slot,service_due_time,earliness_hours,physical_distance_km,tariff_distance_km,estimated_rail_charge_krw
DETAIL0001,NEED0004,CARRIER_A,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,20FT,1,1,CAND0158,2025-07-08 20:00,2025-07-08 23:00,2025-07-09 01:00,2025-07-09 04:00,20,23,25,28,2025-07-10 16:00,36,152.6,152.6,58268.78
DETAIL0002,NEED0005,CARRIER_A,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,20FT,1,1,CAND0158,2025-07-08 20:00,2025-07-08 23:00,2025-07-09 01:00,2025-07-09 04:00,20,23,25,28,2025-07-11 09:00,53,152.6,152.6,58268.78
DETAIL0003,NEED0006,CARRIER_A,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,20FT,1,1,CAND0158,2025-07-08 20:00,2025-07-08 23:00,2025-07-09 01:00,2025-07-09 04:00,20,23,25,28,2025-07-11 10:00,54,152.6,152.6,58268.78
DETAIL0004,NEED0007,CARRIER_A,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,20FT,1,1,CAND0158,2025-07-08 20:00,2025-07-08 23:00,2025-07-09 01:00,2025-07-09 04:00,20,23,25,28,2025-07-11 15:00,59,152.6,152.6,58268.78
DETAIL0005,NEED0008,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,1,1,CAND0170,2025-07-11 15:00,2025-07-11 18:00,2025-07-12 01:00,2025-07-12 04:00,87,90,97,100,2025-07-12 10:00,6,264.4,258.6,98743.82
DETAIL0006,NEED0009,CARRIER_A,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,20FT,1,1,CAND0170,2025-07-11 20:00,2025-07-11 23:00,2025-07-12 01:00,2025-07-12 04:00,92,95,97,100,2025-07-12 18:00,14,152.6,152.6,58268.78
DETAIL0007,NEED0010,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,1,1,CAND0170,2025-07-11 15:00,2025-07-11 18:00,2025-07-12 01:00,2025-07-12 04:00,87,90,97,100,2025-07-13 07:00,27,264.4,258.6,98743.82
DETAIL0008,NEED0011,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,1,1,CAND0170,2025-07-11 15:00,2025-07-11 18:00,2025-07-12 01:00,2025-07-12 04:00,87,90,97,100,2025-07-13 11:00,31,264.4,258.6,98743.82
DETAIL0009,NEED0012,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,1,1,CAND0170,2025-07-11 15:00,2025-07-11 18:00,2025-07-12 01:00,2025-07-12 04:00,87,90,97,100,2025-07-13 13:00,33,264.4,258.6,98743.82
DETAIL0010,NEED0013,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,2,2,CAND0170,2025-07-11 15:00,2025-07-11 18:00,2025-07-12 01:00,2025-07-12 04:00,87,90,97,100,2025-07-13 18:00,38,264.4,258.6,197487.65
DETAIL0011,NEED0014,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,1,1,CAND0170,2025-07-11 15:00,2025-07-11 18:00,2025-07-12 01:00,2025-07-12 04:00,87,90,97,100,2025-07-14 07:00,51,264.4,258.6,98743.82
DETAIL0012,NEED0015,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,2,2,CAND0170,2025-07-11 15:00,2025-07-11 18:00,2025-07-12 01:00,2025-07-12 04:00,87,90,97,100,2025-07-14 09:00,53,264.4,258.6,197487.65
DETAIL0013,NEED0016,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,1,1,CAND0170,2025-07-11 15:00,2025-07-11 18:00,2025-07-12 01:00,2025-07-12 04:00,87,90,97,100,2025-07-14 10:00,54,264.4,258.6,98743.82
DETAIL0014,NEED0017,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,1,1,CAND0170,2025-07-11 15:00,2025-07-11 18:00,2025-07-12 01:00,2025-07-12 04:00,87,90,97,100,2025-07-14 15:00,59,264.4,258.6,98743.82
DETAIL0015,NEED0018,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,1,1,CAND0170,2025-07-11 15:00,2025-07-11 18:00,2025-07-12 01:00,2025-07-12 04:00,87,90,97,100,2025-07-14 16:00,60,264.4,258.6,98743.82
DETAIL0016,NEED0019,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,2,2,CAND0170,2025-07-11 15:00,2025-07-11 18:00,2025-07-12 01:00,2025-07-12 04:00,87,90,97,100,2025-07-14 17:00,61,264.4,258.6,197487.65
