need_id,carrier_id,destination,destination_name,container_size,quantity,teu,due_time,due_slot,priority,need_reason,inventory_lb,rail_served_boxes,rail_served_teu,rail_unserved_boxes,rail_unserved_teu
NEED0001,CARRIER_A,DONGSAN,동산역 CY,20FT,1,1,2025-07-09 11:00,35,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0002,CARRIER_A,GWANGYANG,신광양항,40FT,1,2,2025-07-09 16:00,40,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0003,CARRIER_A,GWANGYANG,신광양항,40FT,1,2,2025-07-13 12:00,132,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0004,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2025-07-10 16:00,64,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0005,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2025-07-11 09:00,81,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0006,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2025-07-11 10:00,82,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0007,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2025-07-11 15:00,87,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0008,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2025-07-12 10:00,106,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0009,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2025-07-12 18:00,114,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0010,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2025-07-13 07:00,127,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0011,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2025-07-13 11:00,131,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0012,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2025-07-13 13:00,133,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0013,CARRIER_A,YAKMOK,약목역 CY,20FT,2,2,2025-07-13 18:00,138,1,FORECAST_STOCKOUT,0,2,2,0,0
NEED0014,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2025-07-14 07:00,151,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0015,CARRIER_A,YAKMOK,약목역 CY,20FT,2,2,2025-07-14 09:00,153,1,FORECAST_STOCKOUT,0,2,2,0,0
NEED0016,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2025-07-14 10:00,154,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0017,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2025-07-14 15:00,159,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0018,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2025-07-14 16:00,160,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0019,CARRIER_A,YAKMOK,약목역 CY,20FT,2,2,2025-07-14 17:00,161,1,FORECAST_STOCKOUT,0,2,2,0,0
NEED0020,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2025-07-14 18:00,162,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0021,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2025-07-10 08:00,56,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0022,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2025-07-12 15:00,111,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0023,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2025-07-12 18:00,114,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0024,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2025-07-13 10:00,130,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0025,CARRIER_A,YAKMOK,약목역 CY,40FT,3,6,2025-07-13 15:00,135,1,FORECAST_STOCKOUT,0,3,6,0,0
NEED0026,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2025-07-14 09:00,153,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0027,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2025-07-14 18:00,162,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0028,CARRIER_B,BUGANG,부강화물역 CY,20FT,1,1,2025-07-13 07:00,127,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0029,CARRIER_B,BUGANG,부강화물역 CY,20FT,1,1,2025-07-13 17:00,137,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0030,CARRIER_B,BUGANG,부강화물역 CY,20FT,1,1,2025-07-14 07:00,151,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0031,CARRIER_B,BUGANG,부강화물역 CY,40FT,1,2,2025-07-11 09:00,81,1,FORECAST_STOCKOUT,0,1,2,0,0
