기점_노선,시도,시군구,읍면동,구간거리_km,40FT_안전위탁운임_원,40FT_운수사업자간운임_원,40FT_안전운송운임_원,20FT_안전위탁운임_원,20FT_운수사업자간운임_원,20FT_안전운송운임_원
부산신항↔의왕ICD,서울특별시,종로구,청운효자동,443,648800,725100,811600,569400,640300,720900
부산신항↔의왕ICD,서울특별시,종로구,사직동,435,640900,717100,803500,563500,634300,714800
부산신항↔의왕ICD,서울특별시,종로구,삼청동,442,648600,725000,811500,569000,639900,720600
부산신항↔의왕ICD,서울특별시,종로구,부암동,442,649100,725600,812200,569300,640300,721100
부산신항↔의왕ICD,서울특별시,종로구,평창동,450,666200,743500,830900,583700,655400,736900
부산신항↔의왕ICD,서울특별시,종로구,무악동,443,648800,725100,811600,569400,640300,720900
부산신항↔의왕ICD,서울특별시,종로구,교남동,441,647100,723400,809900,568000,638900,719500
부산신항↔의왕ICD,서울특별시,종로구,가회동,436,642400,718700,805200,564400,635300,715900
부산신항↔의왕ICD,서울특별시,종로구,종로1234가동,437,642700,718900,805300,564900,635700,716300
부산신항↔의왕ICD,서울특별시,종로구,종로5.6가동,436,641800,718000,804400,564200,635000,715600
부산신항↔의왕ICD,서울특별시,종로구,이화동,438,644300,720600,807100,565800,636700,717300
부산신항↔의왕ICD,서울특별시,종로구,혜화동,438,645400,721900,808500,566500,637500,718200
부산신항↔의왕ICD,서울특별시,종로구,창신1동,435,640900,717100,803500,563500,634300,714800
부산신항↔의왕ICD,서울특별시,종로구,창신2동,432,638100,714100,800300,561300,631900,712200
부산신항↔의왕ICD,서울특별시,종로구,창신3동,433,639700,715800,802000,562300,632900,713300
부산신항↔의왕ICD,서울특별시,종로구,숭인1동,440,646100,722400,808900,567300,638100,718700
부산신항↔의왕ICD,서울특별시,종로구,숭인2동,431,637900,713800,799800,560900,631400,711600
부산신항↔의왕ICD,서울특별시,중구,소공동,434,639400,715500,801800,562500,633200,713700
부산신항↔의왕ICD,서울특별시,중구,회현동,434,638800,714900,801100,562200,632800,713200
부산신항↔의왕ICD,서울특별시,중구,명동,434,638800,714900,801100,562200,632800,713200
부산신항↔의왕ICD,서울특별시,중구,필동,435,640300,716400,802700,563200,633900,714400
부산신항↔의왕ICD,서울특별시,중구,장충동,434,639400,715500,801800,562500,633200,713700
부산신항↔의왕ICD,서울특별시,중구,광희동,434,639400,715500,801800,562500,633200,713700
부산신항↔의왕ICD,서울특별시,중구,을지로동,436,641800,718000,804400,564200,635000,715600
부산신항↔의왕ICD,서울특별시,중구,신당동,434,640000,716100,802400,562900,633600,714000
부산신항↔의왕ICD,서울특별시,중구,다산동,433,638500,714600,800800,561900,632500,712900
부산신항↔의왕ICD,서울특별시,중구,약수동,434,640000,716100,802400,562900,633600,714000
부산신항↔의왕ICD,서울특별시,중구,청구동,434,640000,716100,802400,562900,633600,714000
부산신항↔의왕ICD,서울특별시,중구,신당5동,435,641500,717800,804200,563800,634600,715100
부산신항↔의왕ICD,서울특별시,중구,동화동,432,637500,713500,799600,561100,631700,712000
부산신항↔의왕ICD,서울특별시,중구,황학동,435,641500,717800,804200,563800,634600,715100
부산신항↔의왕ICD,서울특별시,중구,중림동,443,648300,724500,810900,569200,640000,720600
부산신항↔의왕ICD,서울특별시,용산구,후암동,433,637900,714000,800200,561400,632100,712500
부산신항↔의왕ICD,서울특별시,용산구,용산2가동,430,634000,709900,795900,558900,629300,709400
부산신항↔의왕ICD,서울특별시,용산구,남영동,438,641900,717900,804100,564600,635200,715500
부산신항↔의왕ICD,서울특별시,용산구,청파동,440,644300,720400,806600,566400,637100,717500
부산신항↔의왕ICD,서울특별시,용산구,원효로1동,437,642100,718300,804600,564600,635300,715800
부산신항↔의왕ICD,서울특별시,용산구,원효로2동,439,644000,720200,806500,566100,636800,717300
부산신항↔의왕ICD,서울특별시,용산구,효창동,440,644300,720400,806600,566400,637100,717500
부산신항↔의왕ICD,서울특별시,용산구,용문동,439,643400,719500,805700,565600,636300,716700
부산신항↔의왕ICD,서울특별시,용산구,한강로동,436,640100,716100,802300,563300,633900,714200
부산신항↔의왕ICD,서울특별시,용산구,이촌1동,434,637600,713600,799700,561600,632100,712400
부산신항↔의왕ICD,서울특별시,용산구,이촌2동,438,642500,718600,804800,565000,635700,716100
부산신항↔의왕ICD,서울특별시,용산구,이태원1동,427,630700,706300,792000,556400,626600,706600
부산신항↔의왕ICD,서울특별시,용산구,이태원2동,428,632200,707900,793700,557300,627600,707600
부산신항↔의왕ICD,서울특별시,용산구,한남동,430,634000,709900,795900,558900,629300,709400
부산신항↔의왕ICD,서울특별시,용산구,서빙고동,430,632800,708600,794500,558200,628600,708700
부산신항↔의왕ICD,서울특별시,용산구,보광동,429,631900,707700,793600,557500,627900,708000
부산신항↔의왕ICD,서울특별시,성동구,왕십리2동,432,638100,714100,800300,561300,631900,712200
부산신항↔의왕ICD,서울특별시,성동구,왕십리도선동,438,644300,720600,807100,565800,636700,717300
부산신항↔의왕ICD,서울특별시,성동구,마장동,436,643000,719300,805800,564800,635600,716200
부산신항↔의왕ICD,서울특별시,성동구,사근동,433,639700,715800,802000,562300,632900,713300
부산신항↔의왕ICD,서울특별시,성동구,행당1동,432,638100,714100,800300,561300,631900,712200
부산신항↔의왕ICD,서울특별시,성동구,행당2동,433,639000,715100,801300,562100,632700,713100
부산신항↔의왕ICD,서울특별시,성동구,응봉동,430,636300,712100,798100,560000,630400,710600
부산신항↔의왕ICD,서울특별시,성동구,금호1가동,432,637500,713500,799600,561100,631700,712000
부산신항↔의왕ICD,서울특별시,성동구,금호2.3가동,431,636000,711900,798000,560000,630500,710800
부산신항↔의왕ICD,서울특별시,성동구,금호4가동,430,635100,711000,797000,559300,629700,709900
부산신항↔의왕ICD,서울특별시,성동구,옥수동,430,634500,710400,796400,559000,629400,709600
부산신항↔의왕ICD,서울특별시,성동구,성수1가1동,428,633900,709600,795400,558200,628500,708500
부산신항↔의왕ICD,서울특별시,성동구,성수1가2동,427,633000,708600,794300,557500,627700,707600
부산신항↔의왕ICD,서울특별시,성동구,성수2가1동,428,633900,709600,795400,558200,628500,708500
부산신항↔의왕ICD,서울특별시,성동구,성수2가3동,430,636300,712100,798100,560000,630400,710600
부산신항↔의왕ICD,서울특별시,성동구,송정동,431,639600,715500,801600,561700,632200,712400
부산신항↔의왕ICD,서울특별시,성동구,용답동,439,646300,722800,809400,567200,638200,719000
부산신항↔의왕ICD,서울특별시,광진구,화양동,428,635700,711400,797200,559000,629200,709200
부산신항↔의왕ICD,서울특별시,광진구,군자동,428,635700,711400,797200,559000,629200,709200
부산신항↔의왕ICD,서울특별시,광진구,중곡1동,429,637700,713400,799300,560300,630600,710700
부산신항↔의왕ICD,서울특별시,광진구,중곡2동,429,637700,713400,799300,560300,630600,710700
부산신항↔의왕ICD,서울특별시,광진구,중곡3동,431,640100,716000,802100,562000,632500,712700
부산신항↔의왕ICD,서울특별시,광진구,중곡4동,434,649800,726000,812200,570700,641400,721800
부산신항↔의왕ICD,서울특별시,광진구,능동,429,637700,713400,799300,560300,630600,710700
부산신항↔의왕ICD,서울특별시,광진구,광장동,429,639400,715100,801000,561800,632100,712200
부산신항↔의왕ICD,서울특별시,광진구,자양1동,426,632600,708100,793800,557000,627100,707000
부산신항↔의왕ICD,서울특별시,광진구,자양2동,426,632600,708100,793800,557000,627100,707000
부산신항↔의왕ICD,서울특별시,광진구,자양3동,426,632100,707600,793200,556700,626800,706700
부산신항↔의왕ICD,서울특별시,광진구,자양4동,426,632100,707600,793200,556700,626800,706700
부산신항↔의왕ICD,서울특별시,광진구,구의1동,435,645600,721800,808200,566600,637400,717900
부산신항↔의왕ICD,서울특별시,광진구,구의2동,432,642200,718200,804300,563800,634400,714700
부산신항↔의왕ICD,서울특별시,광진구,구의3동,429,637700,713400,799300,560300,630600,710700
부산신항↔의왕ICD,서울특별시,동대문구,신설동,429,636000,711800,797700,559400,629700,709800
부산신항↔의왕ICD,서울특별시,동대문구,용두동,433,641500,717500,803700,563200,633800,714200
부산신항↔의왕ICD,서울특별시,동대문구,제기동,434,642400,718500,804800,564000,634700,715100
부산신항↔의왕ICD,서울특별시,동대문구,전농1동,432,640000,716000,802100,562200,632700,713000
