recommendation_id,carrier_id,origin_hub,destination_hub,container_size,rail_available_time,inventory_context_status,destination_baseline_inventory_at_rail_available,destination_post_rail_inventory_at_rail_available,destination_baseline_unmet_demand_at_rail_available,destination_post_rail_unmet_demand_at_rail_available,destination_baseline_stockout_boxes,destination_post_rail_stockout_boxes,destination_stockout_reduction_boxes
REC0001,CARRIER_A,BUGANG,YAKMOK,20FT,2025-07-09 04:00,AVAILABLE,15,19,0,0,20,0,20
REC0002,CARRIER_A,BUGANG,YAKMOK,20FT,2025-07-12 04:00,AVAILABLE,0,16,0,0,20,0,20
REC0003,CARRIER_A,UIWANG,YAKMOK,20FT,2025-07-12 04:00,AVAILABLE,0,16,0,0,20,0,20
REC0004,CARRIER_A,UIWANG,YAKMOK,40FT,2025-07-09 04:00,AVAILABLE,5,6,0,0,9,0,9
REC0005,CARRIER_A,UIWANG,YAKMOK,40FT,2025-07-12 04:00,AVAILABLE,1,9,0,0,9,0,9
REC0006,CARRIER_B,UIWANG,BUGANG,20FT,2025-07-11 23:00,AVAILABLE,2,5,0,0,3,0,3
REC0007,CARRIER_B,UIWANG,BUGANG,40FT,2025-07-08 23:00,AVAILABLE,2,4,0,0,2,0,2
REC0008,CARRIER_B,UIWANG,BUSAN,20FT,2025-07-09 09:00,AVAILABLE,20,40,0,0,24,0,24
REC0009,CARRIER_B,UIWANG,BUSAN,20FT,2025-07-12 09:00,AVAILABLE,0,4,0,0,24,0,24
REC0010,CARRIER_C,BUGANG,BUSAN,20FT,2025-07-09 09:00,AVAILABLE,4,9,0,0,5,0,5
REC0011,CARRIER_C,UIWANG,BUSAN,20FT,2025-07-09 09:00,AVAILABLE,4,9,0,0,5,0,5
REC0012,CARRIER_C,UIWANG,YAKMOK,40FT,2025-07-09 04:00,AVAILABLE,1,5,0,0,4,0,4
REC0013,CARRIER_D,BUGANG,YAKMOK,20FT,2025-07-12 04:00,AVAILABLE,2,3,0,0,1,0,1
REC0014,CARRIER_E,BUGANG,BUSAN,20FT,2025-07-09 09:00,AVAILABLE,7,14,0,0,7,0,7
REC0015,CARRIER_E,BUGANG,YAKMOK,20FT,2025-07-12 04:00,AVAILABLE,1,8,0,0,8,0,8
REC0016,CARRIER_E,UIWANG,BUSAN,20FT,2025-07-09 09:00,AVAILABLE,7,14,0,0,7,0,7
REC0017,CARRIER_E,UIWANG,YAKMOK,20FT,2025-07-09 04:00,AVAILABLE,8,9,0,0,8,0,8
REC0018,CARRIER_E,UIWANG,YAKMOK,20FT,2025-07-12 04:00,AVAILABLE,1,8,0,0,8,0,8
REC0019,CARRIER_F,BUGANG,BUSAN,20FT,2025-07-09 09:00,AVAILABLE,4,5,0,0,4,0,4
REC0020,CARRIER_F,BUGANG,BUSAN,20FT,2025-07-12 09:00,AVAILABLE,0,3,0,0,4,0,4
REC0021,CARRIER_F,BUGANG,YAKMOK,20FT,2025-07-12 04:00,AVAILABLE,2,5,0,0,3,0,3
REC0022,CARRIER_F,BUGANG,YAKMOK,40FT,2025-07-09 04:00,AVAILABLE,0,1,0,0,1,0,1
REC0023,CARRIER_F,UIWANG,YAKMOK,20FT,2025-07-12 04:00,AVAILABLE,2,5,0,0,3,0,3
