recommendation_id,carrier_id,origin_hub,origin_name,destination_hub,destination_name,container_size,quantity_boxes,quantity_teu,train_id,road_distance_km,road_duration_minutes,truck_tariff_distance_km,truck_vehicle_count,truck_per_vehicle_fare_krw,truck_rate_type,truck_capacity_rule,truck_standard_min_cost_krw,truck_combine_min_cost_krw,truck_fare_candidate_count,truck_combine_eligibility,truck_combine_applied,truck_combine_pair_count,rail_tariff_distance_km,rail_physical_distance_km,rail_model_charge_krw,rail_distance_fare_krw,rail_handling_cost_krw,rail_cost_krw,truck_cost_krw,cost_difference_krw,cost_saving_rate,rail_process_start_time,rail_available_time,rail_end_to_end_hours,truck_origin_loading_hours,truck_destination_unloading_hours,truck_end_to_end_hours,time_difference_hours,rail_total_train_co2_kg,rail_max_capacity_teu,rail_co2_allocation_ratio,rail_co2_kg,truck_co2_kg,co2_difference_kg,co2_reduction_rate,truck_fare_policy,truck_fare_source,truck_distance_source,rail_co2_parameter_source,time_boundary
REC0001,CARRIER_A,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,20FT,4,4.0,CAND0158,135.099,99.51113333333333,135,2,747360.0,안전위탁운임,20FT 2개/대 COMBINE,1660800,1494720,3,ELIGIBLE: 20FT 2쌍에 2개/대 COMBINE 운임 적용,True,2,152.6,152.6,233075.12,233200,64000,297200,1494720,1197520,0.8011667737101263,2025-07-08 20:00,2025-07-09 04:00,8.0,1.5,1.5,4.658518888888889,-3.3414811111111113,1262.15679744,66.0,0.06060606060606061,76.49435136,232.06765824,155.57330688,0.6703790957338356,기본: 거리별 왕복운임 적용,수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
REC0002,CARRIER_A,BUGANG,부강화물역 CY,YAKMOK,약목역 CY,20FT,1,1.0,CAND0170,135.099,99.51113333333333,135,1,415200.0,안전위탁운임,"20FT 1개/대, 40FT 1개/대",415200,,3,INELIGIBLE: 20FT 1개는 2개/대 COMBINE 대상 아님,False,0,152.6,152.6,58268.78,58300,16000,74300,415200,340900,0.8210500963391136,2025-07-11 20:00,2025-07-12 04:00,8.0,1.5,1.5,4.658518888888889,-3.3414811111111113,1262.15679744,66.0,0.015151515151515152,19.12358784,116.03382912,96.91024128,0.8351895478669178,기본: 거리별 왕복운임 적용,수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
REC0003,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,20FT,15,15.0,CAND0170,235.632,166.36041666666668,236,8,1006910.0,안전위탁운임,20FT 2개/대 COMBINE 7대 + 20FT 1개/대 1대,8884500,8055280,3,"ELIGIBLE: 20FT 7쌍은 2개/대 COMBINE, 잔여 1개는 1개/대 일반운임 적용",True,7,258.6,264.4,1481157.33,1480500,240000,1720500,8055280,6334780,0.7864133835198777,2025-07-11 15:00,2025-07-12 04:00,13.0,1.5,1.5,5.772673611111111,-7.227326388888889,2186.85620736,66.0,0.22727272727272727,497.0127744,1619.03689728,1122.02412288,0.6930194887868294,기본: 거리별 왕복운임 적용,수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
REC0004,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,40FT,1,2.0,CAND0158,235.632,166.36041666666668,236,1,680700.0,안전위탁운임,"20FT 1개/대, 40FT 1개/대",680700,,3,INELIGIBLE: COMBINE은 20FT 컨테이너에만 적용,False,0,258.6,264.4,153091.2,153100,20000,173100,680700,507600,0.745702952842662,2025-07-08 15:00,2025-07-09 04:00,13.0,1.5,1.5,5.772673611111111,-7.227326388888889,2186.85620736,66.0,0.030303030303030304,66.26836992,202.37961216,136.11124224,0.672554121372618,기본: 거리별 왕복운임 적용,수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
REC0005,CARRIER_A,UIWANG,의왕ICD(오봉역),YAKMOK,약목역 CY,40FT,8,16.0,CAND0170,235.632,166.36041666666668,236,8,680700.0,안전위탁운임,"20FT 1개/대, 40FT 1개/대",5445600,,3,INELIGIBLE: COMBINE은 20FT 컨테이너에만 적용,False,0,258.6,264.4,1224729.6,1224800,160000,1384800,5445600,4060800,0.745702952842662,2025-07-11 15:00,2025-07-12 04:00,13.0,1.5,1.5,5.772673611111111,-7.227326388888889,2186.85620736,66.0,0.24242424242424243,530.14695936,1619.03689728,1088.88993792,0.672554121372618,기본: 거리별 왕복운임 적용,수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
REC0006,CARRIER_B,UIWANG,의왕ICD(오봉역),BUGANG,부강화물역 CY,20FT,3,3.0,CAND0170,113.744,96.83446666666667,114,2,529760.0,안전위탁운임,20FT 2개/대 COMBINE 1대 + 20FT 1개/대 1대,1135200,1059520,3,"ELIGIBLE: 20FT 1쌍은 2개/대 COMBINE, 잔여 1개는 1개/대 일반운임 적용",True,1,111.8,111.8,128069.13,128100,48000,176100,1059520,883420,0.8337926608275446,2025-07-11 15:00,2025-07-11 23:00,8.0,1.5,1.5,4.6139077777777775,-3.3860922222222225,924.69940992,66.0,0.045454545454545456,42.03179136,195.38489344,153.35310208,0.7848769645391885,기본: 거리별 왕복운임 적용,수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
REC0007,CARRIER_B,UIWANG,의왕ICD(오봉역),BUGANG,부강화물역 CY,40FT,2,4.0,CAND0158,113.744,96.83446666666667,114,2,428400.0,안전위탁운임,"20FT 1개/대, 40FT 1개/대",856800,,3,INELIGIBLE: COMBINE은 20FT 컨테이너에만 적용,False,0,111.8,111.8,132371.2,132400,40000,172400,856800,684400,0.7987861811391224,2025-07-08 15:00,2025-07-08 23:00,8.0,1.5,1.5,4.6139077777777775,-3.3860922222222225,924.69940992,66.0,0.06060606060606061,56.04238848,195.38489344,139.34250496,0.7131692860522514,기본: 거리별 왕복운임 적용,수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
REC0008,CARRIER_B,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,20FT,20,20.0,CAND0158,375.823,288.35766666666666,376,10,763380.0,안전위탁운임,20FT 2개/대 COMBINE,8482000,7633800,3,ELIGIBLE: 20FT 10쌍에 2개/대 COMBINE 운임 적용,True,10,402.3,408.09999999999997,3072284.62,3072000,320000,3392000,7633800,4241800,0.5556603526421966,2025-07-08 15:00,2025-07-09 09:00,18.0,1.5,1.5,7.805961111111111,-10.194038888888889,3375.40097664,66.0,0.30303030303030304,1022.8487808,3227.8685824,2205.0198016,0.6831194471865746,"포지셔닝: 의왕ICD ↔ 항만 공컨테이너 공급운송, 거리별 왕복운임의 50% 적용",수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
REC0009,CARRIER_B,UIWANG,의왕ICD(오봉역),BUSAN,부산신항,20FT,4,4.0,CAND0170,375.823,288.35766666666666,376,2,763380.0,안전위탁운임,20FT 2개/대 COMBINE,1696400,1526760,3,ELIGIBLE: 20FT 2쌍에 2개/대 COMBINE 운임 적용,True,2,402.3,408.09999999999997,614456.92,614400,64000,678400,1526760,848360,0.5556603526421966,2025-07-11 15:00,2025-07-12 09:00,18.0,1.5,1.5,7.805961111111111,-10.194038888888889,3375.40097664,66.0,0.06060606060606061,204.56975616,645.57371648,441.00396032000003,0.6831194471865746,"포지셔닝: 의왕ICD ↔ 항만 공컨테이너 공급운송, 거리별 왕복운임의 50% 적용",수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
REC0010,CARRIER_C,BUGANG,부강화물역 CY,BUSAN,부산신항,20FT,3,3.0,CAND0158,278.599,195.37800000000001,279,2,975660.0,안전위탁운임,20FT 2개/대 COMBINE 1대 + 20FT 1개/대 1대,2090700,1951320,3,"ELIGIBLE: 20FT 1쌍은 2개/대 COMBINE, 잔여 1개는 1개/대 일반운임 적용",True,1,296.3,296.29999999999995,339417.57,339300,48000,387300,1951320,1564020,0.8015189717729537,2025-07-08 20:00,2025-07-09 09:00,13.0,1.5,1.5,6.2563,-6.7437,2450.7015667199994,66.0,0.045454545454545456,111.39552575999997,478.56621824,367.17069248000007,0.7672306955353557,기본: 거리별 왕복운임 적용,수출입컨테이너_거리별_안전운임_2026_왕복.csv,NAVER Maps Directions 5 / traoptimal,"철도 총배출량 = 추천 OD 물리거리 × 3.21L/km × 35.2MJ/L × 73,200kgCO2/TJ ÷ 1,000,000; 배분 = 총배출량 × (recommendation quantity_teu / KORAIL_TRAIN_PLAN capacity_teu)",Rail: STOP_WORK_PLAN actual_load_start_time → actual_available_time; Truck: NAVER road duration + origin/destination each 1.5h
