구간거리_km,운송거리_왕복_km,40FT_안전위탁운임_원,40FT_운수사업자간운임_원,40FT_안전운송운임_원,20FT_안전위탁운임_원,20FT_운수사업자간운임_원,20FT_안전운송운임_원
1,2,125300,135500,146500,108500,117600,127400
2,4,128300,138500,149500,111000,120100,129900
3,6,131700,142000,153200,113600,122800,132800
4,8,134700,145200,156500,116500,125900,136000
5,10,137500,148100,159600,119000,128500,138800
6,12,140600,151400,163100,121800,131400,141800
7,14,143700,154700,166500,124400,134200,144700
8,16,147000,158100,170100,127100,137000,147700
9,18,149900,161200,173300,129800,139900,150700
10,20,153000,164400,176700,132500,142700,153700
11,22,156100,167700,180200,135100,145400,156500
12,24,159100,170900,183500,137900,148400,159600
13,26,162200,174100,186900,140600,151200,162600
14,28,165200,177300,190200,143100,153900,165400
15,30,168400,180600,193700,145800,156700,168400
16,32,171500,183900,197200,149200,160200,172000
17,34,174500,187100,200500,152800,164000,175900
18,36,177500,190200,203800,156400,167700,179800
19,38,180500,193400,207100,160000,171500,183700
20,40,183500,196500,210400,163500,175100,187500
21,42,186600,199800,213900,167100,178800,191300
22,44,189600,203000,217200,170700,182600,195200
23,46,192700,206200,220600,174100,186100,198900
24,48,196500,210200,224700,177900,190100,203000
25,50,200500,214300,229000,181300,193600,206700
26,52,202800,216800,231700,183500,195900,209100
27,54,205000,219100,234200,185500,198100,211400
28,56,207900,222200,237400,187500,200200,213700
29,58,210800,225200,240600,189500,202400,216000
30,60,213800,228400,243900,191600,204600,218400
31,62,216800,231600,247300,193500,206600,220500
32,64,219800,234700,250600,195400,208600,222700
33,66,222700,237800,253800,197400,210800,225000
34,68,225700,240900,257100,199500,213000,227400
35,70,228700,244100,260400,201500,215200,229700
36,72,231800,247400,263900,203400,217200,231800
37,74,234800,250500,267200,205400,219300,234100
38,76,237800,253700,270500,207500,221600,236500
39,78,240800,256800,273800,209500,223700,238800
40,80,243700,259900,277000,211500,225900,241100
41,82,246700,263100,280400,214100,228600,243900
42,84,249700,266200,283700,216600,231200,246700
43,86,252700,269400,287000,219300,234100,249700
44,88,263800,280600,298400,229000,243900,259700
45,90,266800,283800,301700,231600,246700,262600
46,92,269800,287000,305100,234100,249300,265300
47,94,272600,289900,308200,236800,252100,268300
48,96,275600,293100,311500,239200,254700,271000
49,98,278700,296300,314900,241900,257500,274000
50,100,281500,299300,318000,244600,260400,277000
51,102,284500,302500,321400,253800,269700,286400
52,104,286700,304800,323900,255800,271800,288700
53,106,288800,307100,326300,257600,273800,290800
54,108,291200,309600,329000,259600,275900,293100
55,110,293300,311900,331400,261600,278100,295400
56,112,295600,314400,334100,263500,280100,297500
57,114,297800,316700,336600,265400,282100,299700
58,116,300000,319000,339100,267500,284400,302100
59,118,302200,321400,341600,269400,286400,304300
60,120,304400,323700,344100,271300,288500,306500
61,122,306600,326100,346700,273100,290400,308500
62,124,308900,328600,349300,275200,292600,310900
63,126,311000,330800,351700,277100,294600,313100
64,128,313200,333200,354200,278900,296600,315200
65,130,315500,335600,356800,280800,298600,317400
66,132,317600,337900,359300,282800,300700,319600
67,134,319700,340100,361700,284700,302800,321800
68,136,321900,342500,364200,286700,304900,324100
69,138,324100,344800,366700,288500,306900,326200
70,140,326200,347100,369100,290500,309000,328500
71,142,328500,349600,371800,292300,310900,330500
72,144,330700,351900,374300,294100,312800,332600
73,146,332700,354100,376600,296000,314900,334800
74,148,335000,356500,379200,298000,317000,337100
75,150,337100,358700,381600,299900,319100,339300
76,152,339200,361000,384100,301700,321000,341300
77,154,341600,363600,386800,303600,323000,343500
78,156,343600,365700,389100,305400,325000,345600
79,158,345800,368100,391600,307400,327100,347900
80,160,348000,370400,394100,309200,329100,350000
81,162,350200,372800,396700,311000,330900,352000
82,164,352300,375100,399100,313000,333100,354300
83,166,354500,377400,401600,314800,335000,356400
84,168,356700,379700,404100,316600,337000,358500
